Player,Position,Appearances,Club ID,Player ID,Team Name,interceptions_per_90_overall,clearances_per_90_overall,aerial_duels_won_per_90_overall,duels_won_per_90_overall,conceded_per_90_overall,blocks_per_90_overall,clean_sheets_per_overall,pass_completion_rate_overall,pen_committed_per_90_overall,cards_per_90_overall,fouls_committed_per_90_overall,dribbled_past_per_90_overall,dispossesed_per_90_overall,goals_involved_per_90_overall,Team Possession,Composite_Score
Virgil van Dijk,Not Fetched,22,151,4062,Liverpool,0.5798319327731092,0.48926553672316386,0.7582417582417581,0.6160337552742615,-0.2105263157894737,0.1895424836601307,0.8913043478260869,0.9704267004647231,-0.0,-0.09259259259259259,-0.1610169491525424,-0.1593406593406593,-0.06369426751592357,0.23076923076923073,59,10.278765404639941
Ibrahima Konaté,Not Fetched,16,151,19532,Liverpool,0.2773109243697479,0.4248587570621469,0.8516483516483516,0.6736990154711674,-0.16267942583732062,0.3856209150326797,0.9565217391304348,0.9471905365441486,-0.0,-0.5,-0.4067796610169492,-0.20329670329670327,-0.0445859872611465,0.5384615384615384,59,9.161801032873125
Nathan Collins,Not Fetched,23,218,120008,Brentford,0.36134453781512604,0.6056497175141243,0.9230769230769229,0.741209563994374,-0.507177033492823,0.9477124183006536,0.2826086956521739,0.9133924799324038,-0.0,-0.16666666666666663,-0.23305084745762716,-0.12637362637362637,-0.17197452229299362,0.3333333333333333,48,9.024635567166028
Gabriel Magalhães,Not Fetched,21,59,17594,Arsenal,0.19747899159663865,0.36045197740112994,0.6043956043956044,0.530239099859353,-0.229665071770335,0.8562091503267975,0.717391304347826,0.959125475285171,-0.0,-0.27777777777777773,-0.33050847457627125,-0.11538461538461536,-0.06369426751592357,0.5128205128205128,55,8.994652401168633
Jan Bednarek,Not Fetched,19,146,38761,Southampton,0.8235294117647058,0.6531073446327684,0.6016483516483515,0.5527426160337553,-0.7129186602870814,0.9869281045751634,0.2391304347826087,0.9886987748204477,-0.0,-0.38888888888888884,-0.5211864406779662,-0.3406593406593406,-0.03821656050955414,0.28205128205128205,52,8.821425498225143
Dan Burn,Not Fetched,22,157,4906,Newcastle United,0.29831932773109243,0.5276836158192091,0.9423076923076923,0.7032348804500703,-0.23444976076555027,0.4640522875816993,0.7826086956521738,0.9608153781157582,-0.0,-0.5,-0.3220338983050848,-0.2637362637362637,-0.06369426751592357,0.0,51,8.023495622579977
Joško Gvardiol,Not Fetched,22,93,588073,Manchester City,0.4705882352941177,0.303954802259887,0.4148351648351648,0.6047819971870604,-0.33492822966507185,0.35294117647058826,0.5,0.9744402196873679,-0.0,-0.09259259259259259,-0.2076271186440678,-0.1593406593406593,-0.375796178343949,0.5897435897435898,61,7.812512570609885
Max Kilman,Not Fetched,23,153,64822,West Ham United,0.45378151260504207,0.6124293785310735,0.7912087912087911,0.6230661040787623,-0.7033492822966507,0.7058823529411765,0.3695652173913043,0.9094845796366707,-0.0,-0.25925925925925924,-0.17796610169491525,-0.10439560439560439,-0.057324840764331204,0.1282051282051282,47,7.737854296878119
Ethan Pinnock,Not Fetched,16,218,39183,Brentford,0.44537815126050423,0.7209039548022599,0.7912087912087911,0.6863572433192686,-0.5789473684210527,0.6535947712418301,0.13043478260869565,0.9152936206168144,-0.4,-0.24074074074074073,-0.13135593220338984,-0.13736263736263735,-0.1592356687898089,0.3333333333333333,48,7.6076776376802
Harry Maguire,Not Fetched,16,149,4233,Manchester United,1.0,0.3807909604519774,0.6813186813186812,0.530239099859353,-0.4019138755980861,0.4509803921568627,0.6739130434782609,0.9129700042247569,-0.0,-1.0,-0.5042372881355932,-0.10989010989010989,-0.06369426751592357,0.0,53,7.407830410520154
