id,competition_id,position,age,Player_Name,club_id,minutes,detailed.accurate_crosses_per_90_overall,detailed.key_passes_per_90_overall,assists_per_90_overall,detailed.pass_completion_rate_overall,npg_per_90,detailed.shot_accuraccy_percentage_overall,detailed.shot_conversion_rate_overall,over_under_perform,detailed.dribbles_successful_per_90_overall,detailed.dispossesed_per_90_overall,detailed.fouls_drawn_per_90_overall,detailed.offsides_per_90_overall,detailed.tackles_per_90_overall,detailed.fouls_committed_per_90_overall,detailed.dribbled_past_per_game_overall,minutes_played_overall,age_encoded,passing_ability_score,finishing_ability_score,on_the_ball_ability_score,off_the_ball_ability_score,overall_score,UMAP_Passing1,UMAP_Passing2,UMAP_Finishing1,UMAP_Finishing2,UMAP_OnBall1,UMAP_OnBall2,UMAP_OffBall1,UMAP_OffBall2,UMAP_Overall1,UMAP_Overall2,Cluster_Passing,Cluster_Finishing,Cluster_OnBall,Cluster_OffBall,Cluster_Overall
4140,12325,Forward,27,Marcus Rashford,149,983,0.82,1.37,0.09,76.85,0.3662258392675483,81.82,36.36,-0.023774160732451644,0.92,0.55,0.64,0.64,0.64,0.73,0.33,983,2,79.13,118.52245167853508,1.01,-1.06,49.400612919633765,2.0635993,5.130955,-0.0741016,0.12739524,6.718393,0.9141068,6.9910593,0.28316697,-2.5058496,4.6033516,1,2,2,1,2
606764,12325,Forward,22,Amad Diallo Traoré,149,1504,0.89,2.1,0.36,84.96,0.3590425531914893,61.9,28.57,-0.0009574468085107313,2.16,1.78,1.27,0.51,2.1,0.89,0.55,1504,3,88.30999999999999,90.82808510638297,1.6500000000000001,0.15000000000000002,45.23452127659574,-1.2419881,6.087325,0.28553528,1.4022652,3.2105374,3.6552534,12.06408,3.8971906,-2.3941762,6.4496794,1,2,0,1,2
685899,12325,Forward,20,Alejandro Garnacho,149,1228,0.31,1.49,0.07,83.07,0.21986970684039087,57.14,8.57,-0.2901302931596092,0.94,2.12,1.8,0.39,1.1,0.47,0.62,1228,3,84.94,65.63973941368079,0.6199999999999999,-0.3799999999999999,37.7049348534202,4.179382,4.067819,1.2301803,4.624207,-0.80657065,2.9936616,9.600645,1.1216818,0.19957973,8.220557,0,0,1,1,2
165580,12325,Forward,23,Joshua Zirkzee,149,854,0.0,1.2,0.11,73.22,0.3161592505854801,61.54,23.08,-0.053840749414519884,0.77,2.08,0.77,0.22,1.09,0.77,0.0,854,3,74.53,84.88231850117096,-0.54,0.10000000000000009,39.74307962529274,3.4705493,7.285222,0.2631103,2.190603,6.4535084,0.65537906,5.676633,1.7878866,-0.28658795,4.861584,2,0,2,2,2
192322,12325,Forward,24,Antony Matheus,149,133,2.03,2.03,0.0,82.76,0.0,60.0,0.0,-0.47,2.71,1.35,3.38,0.0,4.06,1.35,0.38,133,2,86.82000000000001,59.53,4.74,2.3299999999999996,38.35500000000001,0.32670286,4.001545,2.9395149,9.267458,-2.1793303,6.721201,0.22383794,9.174029,-1.4649215,8.062874,1,1,1,0,2
4251,12325,Forward,29,Adama Traoré,162,1044,1.25,2.41,0.26,81.1,0.17241379310344826,56.25,12.5,-0.10758620689655174,2.41,1.07,1.79,0.09,0.71,1.16,0.29,1044,1,85.02,68.81482758620689,3.13,-0.8299999999999998,39.03370689655171,-0.6778398,4.916285,1.4806626,4.9839854,-0.008319484,5.2117643,7.468474,0.44704148,-1.3472295,7.7405043,1,0,1,1,2
2972,12325,Forward,28,Alex Iwobi,162,1949,0.58,2.03,0.14,80.12,0.323242688558235,59.38,21.88,-0.12675731144176494,1.6,1.31,0.73,0.1,1.45,0.58,0.27,1949,2,82.87,81.45648537711648,1.02,0.4999999999999999,41.46162134427912,0.68430597,5.496742,0.35751846,2.7442496,5.4748454,3.7231114,13.178725,4.874537,-1.2339455,6.7159367,1,0,0,1,2
683703,12325,Forward,23,Rodrigo Muniz,162,643,0.0,0.88,0.14,67.05,0.4199066874027994,50.0,15.0,-0.10009331259720067,0.58,2.34,2.78,0.15,0.44,1.17,0.0,643,3,68.07,65.3198133748056,1.02,-0.8799999999999999,33.38245334370141,3.084941,8.675962,2.8106031,1.0440799,-2.5415592,5.254513,2.6567247,1.6321586,2.7989674,4.9665346,2,2,1,2,0
3351,12325,Forward,33,Raúl Jiménez,162,1459,0.19,0.71,0.12,71.12,0.30843043180260454,52.38,19.05,-0.1115695681973955,0.71,1.48,1.68,0.71,1.22,1.48,0.32,1459,1,72.14,71.62686086360522,0.9099999999999999,-1.29,35.846715215901305,2.9318175,8.033669,1.3598492,3.4603848,-0.42135093,2.2846012,11.478559,2.9890566,1.9410279,5.1698956,2,0,1,1,0
4373,12325,Forward,27,Harry Wilson,162,835,1.04,2.07,0.11,79.08,0.5389221556886228,45.0,25.0,-0.09107784431137722,0.92,0.46,1.61,0.0,1.15,1.15,0.17,835,2,82.3,70.44784431137725,2.0700000000000003,-0.17,38.66196107784432,1.0412769,4.817721,2.2962716,0.49379876,0.11924528,2.4214237,5.640679,1.730015,-0.9172926,7.5435095,1,2,1,2,2
729,12325,Forward,30,Wes Burns,220,932,0.8,1.0,0.1,68.56,0.0,25.0,0.0,-0.04999999999999999,0.9,1.29,1.0,0.0,1.29,0.4,0.35,932,1,70.46000000000001,24.95,0.61,0.54,24.140000000000004,2.7875104,6.201871,3.4681175,10.7640915,4.9569926,0.7669401,6.61933,1.5249579,5.9224057,5.433489,2,1,2,2,0
10051,12325,Forward,27,Conor Chaplin,220,611,0.29,0.88,0.15,75.94,0.14729950900163666,44.44,11.11,-0.08270049099836335,0.44,0.59,0.74,0.0,1.62,1.47,0.4,611,2,77.25999999999999,55.61459901800327,0.5900000000000001,-0.2499999999999999,33.30364975450082,2.4679947,7.1447453,2.5174103,5.410979,8.893595,3.325856,3.572607,3.0175424,2.6006994,6.885562,2,0,0,2,0
464988,12325,Forward,32,Mohamed Salah,151,1947,0.44,2.37,0.6,73.48,0.6471494607087828,60.87,26.09,0.09714946070878283,1.5,1.84,1.21,0.34,0.53,0.63,0.14,1947,1,76.89,87.70429892141756,0.8699999999999999,-0.5800000000000001,41.22107473035439,-2.0336792,6.4037676,1.2742004,-1.1698477,3.6152563,2.9044406,13.180907,4.594209,-0.5117373,5.3344584,1,2,0,1,2
3238,12325,Forward,28,Diogo Jota,151,627,0.29,0.86,0.29,72.62,0.7177033492822966,55.56,27.78,0.10770334928229663,1.15,1.72,1.29,0.0,0.86,1.43,0.54,627,2,74.06,84.1654066985646,0.72,-1.1099999999999999,39.458851674641146,0.37814927,8.250961,1.2603054,-1.3162847,2.5255265,1.4219023,2.906594,1.9944438,0.1979023,5.0799146,1,2,0,2,2
75423,12325,Forward,28,Luis Díaz,151,1346,0.29,1.93,0.13,86.79,0.5349182763744428,59.38,25.0,-0.09508172362555722,1.57,1.71,1.29,0.43,1.07,2.07,0.5,1346,2,89.14,84.81983655274888,1.1500000000000001,-1.9299999999999997,43.29495913818722,0.5538584,5.433722,1.4383291,-0.21229514,3.3390498,3.0624049,10.586875,1.8787787,-2.216604,6.497562,1,2,0,1,2
15637,12325,Forward,25,Cody Gakpo,151,1234,0.62,2.08,0.22,84.1,0.5834683954619124,46.67,20.0,0.12346839546191246,1.62,0.85,1.23,0.31,1.47,0.93,0.38,1234,2,87.02,67.37693679092382,2.0,-0.15000000000000013,39.06173419773095,0.12941734,5.6220546,2.3021202,0.8827824,3.512474,3.0756469,9.582755,1.4496485,-0.84915745,8.20404,1,2,0,1,2
