metric_name,metric_aspect,indicator

detailed.accurate_crosses_per_90_overall,passing_ability,positive
detailed.key_passes_per_90_overall,passing_ability,positive
assists_per_90_overall,passing_ability,positive
detailed.pass_completion_rate_overall,passing_ability,positive

npg_per_90,finishing_ability,positive
detailed.shot_accuraccy_percentage_overall,finishing_ability,positive
detailed.shot_conversion_rate_overall,finishing_ability,positive
over_under_perform,finishing_ability,positive

detailed.dribbles_successful_per_90_overall,on_the_ball_ability,positive
detailed.dispossesed_per_90_overall,on_the_ball_ability,negative,
detailed.fouls_drawn_per_90_overall,on_the_ball_ability,positive
detailed.dribbles_per_90_overall,on_the_ball_ability,positive


detailed.dribbled_past_per_game_overall,off_the_ball_ability,negative
detailed.offsides_per_90_overall,off_the_ball_ability,negative
detailed.tackles_per_90_overall,off_the_ball_ability,positive
detailed.fouls_committed_per_90_overall,off_the_ball_ability,negative



