Player,Position,Appearances,Club ID,Player ID,Team Name,accurate_crosses_per_90_overall,goals_per_90_overall,assists_per_90_overall,dribbles_successful_per_90_overall,key_passes_per_game_overall,pass_completion_rate_overall,shot_accuraccy_percentage_overall,offsides_per_90_overall,shot_conversion_rate_overall,Team Possession,Composite_Score
Bukayo Saka,Right winger,16,59,120177,Arsenal,0.7703180212014135,0.3465346534653465,1.0,0.46271929824561403,1.0,0.9133042529989095,0.7857492055732097,-0.13291139240506328,0.2678866056697165,55,13.422204446782464
Mohamed Salah,"Right winger, forward",22,151,464988,Liverpool,0.15547703180212014,0.8712871287128713,0.8450704225352114,0.32894736842105265,0.8661710037174722,0.8013086150490731,0.743950134441457,-0.2151898734177215,0.3913304334783261,59,12.365959583590316
Jeremy Doku,Winger,15,93,194582,Manchester City,0.2826855123674912,0.33663366336633666,0.6478873239436621,1.0,0.3977695167286246,0.9234460196292258,0.6667074065020778,-0.2911392405063291,0.40902954852257384,61,11.397267894919402
Dwight McNeil,Winger,13,144,171045,Everton,1.0,0.2376237623762376,0.3380281690140845,0.3442982456140351,0.9144981412639406,0.8929116684841876,0.6110975311659742,-0.050632911392405056,0.28123593820308984,40,10.66916879762862
Alexander Isak,Forward,21,157,1501,Newcastle United,0.038869257950530034,0.8811881188118812,0.3661971830985916,0.3969298245614035,0.6319702602230484,0.8220283533260632,0.81483744805671,-0.5189873417721518,0.5356232188390581,51,10.396465220718854
Amad Diallo Traoré,"Winger, midfielder, wing-back",21,149,606764,Manchester United,0.31448763250883394,0.3564356435643564,0.5070422535211268,0.4736842105263159,0.6133828996282528,0.9264994547437295,0.756538743583476,-0.3227848101265822,0.4285285735713214,53,10.201330054236935
Sávio,Winger,18,93,672804,Manchester City,0.441696113074205,0.07920792079207921,0.5915492957746479,0.6907894736842105,0.5985130111524164,0.9383860414394766,0.6581520410657542,-0.050632911392405056,0.057747112644367785,61,10.030514927786195
Dejan Kulusevski,"Midfielder, right winger",23,92,160656,Tottenham Hotspur,0.19787985865724383,0.2871287128712871,0.26760563380281693,0.31140350877192985,0.9479553903345725,0.8727371864776445,0.8362258616475191,-0.1582278481012658,0.47367631618419076,58,9.77513295838543
Anthony Gordon,Unknown,22,157,120004,Newcastle United,0.48763250883392223,0.297029702970297,0.35211267605633806,0.3486842105263158,0.8141263940520447,0.8639040348964013,0.6667074065020778,-0.06962025316455696,0.2726863656817159,51,9.731060088764139
João Pedro,Unknown,17,209,196841,Brighton & Hove Albion,0.07773851590106007,0.3465346534653465,0.49295774647887325,0.3267543859649123,0.3940520446096655,0.826608505997819,0.8627474945001223,-0.0,0.44112794360281987,53,9.566036861450492
Jadon Sancho,Winger,17,152,86708,Chelsea,0.0,0.16831683168316833,0.4788732394366198,0.6776315789473685,0.4869888475836432,0.9381679389312977,0.6983622586164753,-0.11392405063291138,0.4285285735713214,58,9.549074344957596
Phil Foden,Midfielder,18,93,3386,Manchester City,0.6607773851590106,0.48514851485148514,0.19718309859154934,0.13157894736842105,0.788104089219331,0.9667393675027264,0.5884869225128331,-0.09493670886075949,0.3332833358332083,61,9.5151273876799
Reiss Nelson,Winger,12,59,123480,Arsenal,0.6501766784452297,0.1782178217821782,0.2535211267605634,0.48464912280701755,0.4014869888475837,1.0,0.81483744805671,-0.11392405063291138,0.16664166791660415,55,9.40243912737242
Danny Ings,Striker,13,153,4490,West Ham United,0.0,0.3564356435643564,1.0,0.25,0.15613382899628253,0.7931297709923665,0.7638719139574677,-0.0,0.18749062546872655,47,9.384431123480224
Matheus Cunha,"Forward, second striker, winger",22,223,40467,Wolverhampton Wanderers,0.4134275618374558,0.49504950495049505,0.28169014084507044,0.38377192982456143,0.620817843866171,0.8453653217011995,0.651796626741628,-0.26582278481012656,0.3332833358332083,47,9.33106716394108
Heung-Min Son,Forward,20,92,1523,Tottenham Hotspur,0.20141342756183744,0.3564356435643564,0.5070422535211268,0.29385964912280704,0.6654275092936803,0.9287895310796075,0.8279149352236618,-0.40506329113924044,0.29023548822558876,58,9.317362774338804
Gonçalo Guedes,"Winger, forward",20,223,468482,Wolverhampton Wanderers,0.31448763250883394,0.2871287128712871,0.8309859154929577,0.16228070175438597,0.17472118959107807,0.8206106870229007,0.733317037399169,-0.0,0.2999850007499625,47,9.260746122298949
Adama Traoré,Unknown,22,162,4251,Fulham,0.441696113074205,0.16831683168316833,0.3661971830985916,0.5285087719298246,0.47955390334572495,0.8844056706652126,0.6874847225617209,-0.05696202531645569,0.18749062546872655,53,9.123891102294744
Diogo Jota,"Forward, winger",13,151,3238,Liverpool,0.10247349823321554,0.7128712871287128,0.4084507042253521,0.25219298245614036,0.17100371747211898,0.7919302071973828,0.6790515766316305,-0.0,0.4166791660416979,59,9.12187282921434
Justin Kluivert,"Winger, forward",22,148,14795,AFC Bournemouth,0.18727915194346292,0.6732673267326733,0.35211267605633806,0.1600877192982456,0.42379182156133827,0.825081788440567,0.7397946712295284,-0.20886075949367086,0.3947802609869506,46,9.019931706827652
Jarrod Bowen,"Right winger, forward",19,153,3930,West Ham United,0.3816254416961131,0.26732673267326734,0.3098591549295775,0.3201754385964912,0.7434944237918216,0.8568157033805888,0.733317037399169,-0.17088607594936708,0.2143392830358482,47,8.942812642705524
Alex Iwobi,Midfielder,23,162,2972,Fulham,0.20494699646643108,0.31683168316831684,0.19718309859154934,0.3508771929824562,0.7100371747211897,0.8737186477644493,0.725739428012711,-0.06329113924050632,0.32818359082045895,53,8.879084749329145
Cody Gakpo,"Left winger, forward",22,151,15637,Liverpool,0.21908127208480566,0.5742574257425742,0.3098591549295775,0.3552631578947369,0.47955390334572495,0.9171210468920392,0.5703984355903203,-0.1962025316455696,0.2999850007499625,59,8.868411905325551
Luis Díaz,Unknown,21,151,75423,Liverpool,0.10247349823321554,0.5247524752475248,0.1830985915492958,0.3442982456140351,0.5018587360594796,0.9464558342420939,0.725739428012711,-0.27215189873417717,0.3749812509374531,59,8.64090106274683
Yankuba Minteh,Right winger,18,209,792859,Brighton & Hove Albion,0.5229681978798587,0.3564356435643564,0.3380281690140845,0.48684210526315796,0.2825278810408922,0.7091603053435115,0.4888780249327793,-0.1582278481012658,0.4499775011249437,53,8.623363902899015
Gabriel Martinelli,Forward,21,59,142754,Arsenal,0.27208480565371024,0.38613861386138615,0.1830985915492958,0.2609649122807018,0.4089219330855019,0.8438386041439476,0.8362258616475191,-0.2215189873417721,0.47367631618419076,55,8.553289281467865
Noni Madueke,Winger,21,152,595016,Chelsea,0.19787985865724383,0.45544554455445546,0.28169014084507044,0.33552631578947373,0.4089219330855019,0.9259541984732824,0.6642630163774139,-0.13291139240506328,0.19559022048897554,58,8.401644689299122
Marcus Rashford,Forward,15,149,4140,Manchester United,0.28975265017667845,0.36633663366336633,0.1267605633802817,0.2017543859649123,0.3717472118959108,0.8380588876772083,1.0,-0.40506329113924044,0.5453727313634318,53,8.364291128973658
Kaoru Mitoma,"Left winger, wide midfielder, attacking midfielder",23,209,174554,Brighton & Hove Albion,0.16254416961130744,0.2376237623762376,0.21126760563380284,0.3815789473684211,0.5390334572490707,0.8800436205016358,0.7822048398924469,-0.12658227848101264,0.2999850007499625,53,8.348073405074654
Harry Wilson,Unknown,19,162,4373,Fulham,0.3674911660777385,0.5346534653465347,0.15492957746478875,0.2017543859649123,0.3717472118959108,0.8623773173391494,0.5499877780493767,-0.0,0.3749812509374531,53,8.277169512977341
Morgan Rogers,Attacking midfielder,22,158,120077,Aston Villa,0.0,0.297029702970297,0.28169014084507044,0.40570175438596495,0.5130111524163569,0.8173391494002181,0.6110975311659742,-0.0,0.40902954852257384,50,8.265317088780217
Mikkel Damsgaard,"Attacking midfielder, winger",23,218,139710,Brentford,0.31448763250883394,0.10891089108910891,0.5211267605633804,0.2916666666666667,0.5390334572490707,0.858887677208288,0.6110975311659742,-0.10759493670886075,0.2143392830358482,48,8.236711775041751
Harvey Barnes,Winger,20,157,3392,Newcastle United,0.3286219081272085,0.5742574257425742,0.16901408450704225,0.30701754385964913,0.1858736059479554,0.8972737186477645,0.6110975311659742,-0.14556962025316456,0.34093295335233237,51,8.198424887469914
Erling Haaland,Striker,23,93,13248,Manchester City,0.0176678445229682,0.7920792079207921,0.1267605633802817,0.10087719298245615,0.3197026022304833,0.7408942202835332,0.81483744805671,-0.11392405063291138,0.3400329983500825,61,8.112410466529031
Jacob Murphy,Winger,20,157,7229,Newcastle United,0.24381625441696111,0.2079207920792079,0.7042253521126761,0.16885964912280704,0.4312267657992565,0.8339149400218102,0.5431434857003178,-0.14556962025316456,0.2500374981250938,51,8.099299513264942
Leandro Trossard,"Forward, left winger",23,59,21446,Arsenal,0.3003533568904594,0.25742574257425743,0.3661971830985916,0.24780701754385964,0.40520446096654283,0.8441657579062158,0.6722072842825716,-0.13291139240506328,0.2999850007499625,55,8.064506050714076
Simon Adingra,Winger,15,209,716444,Brighton & Hove Albion,0.2296819787985866,0.32673267326732675,0.22535211267605637,0.3947368421052632,0.17472118959107807,0.8840785169029444,0.6110975311659742,-0.0,0.3749812509374531,53,8.000683350103985
Ollie Watkins,Forward,23,158,9919,Aston Villa,0.0,0.5544554455445545,0.3943661971830987,0.07675438596491228,0.3048327137546468,0.8377317339149399,0.7021510633097043,-0.14556962025316456,0.3191840407979601,50,7.815539012435573
Pedro Neto,Winger,20,152,5418,Chelsea,0.4452296819787986,0.07920792079207921,0.2394366197183099,0.331140350877193,0.412639405204461,0.9494002181025082,0.6667074065020778,-0.050632911392405056,0.13634318284085795,58,7.735436047137422
David Brooks,Unknown,16,148,9039,AFC Bournemouth,0.4558303886925795,0.3564356435643564,0.0,0.32894736842105265,0.2230483271375465,0.8239912758996729,0.733317037399169,-0.0,0.19994000299985001,46,7.661720137613032
Hee-Chan Hwang,Forward,16,223,23113,Wolverhampton Wanderers,0.11660777385159012,0.297029702970297,0.0,0.03728070175438597,0.048327137546468404,0.9206106870229008,0.81483744805671,-0.0,1.0,47,7.618534755186098
Callum Hudson-Odoi,Winger,20,211,123453,Nottingham Forest,0.18727915194346292,0.1782178217821782,0.16901408450704225,0.34649122807017546,0.650557620817844,0.9714285714285714,0.6432412613053045,-0.2594936708860759,0.23683815809209538,40,7.584112849785897
Jack Grealish,"Winger, attacking midfielder",15,93,4506,Manchester City,0.1590106007067138,0.0,0.21126760563380284,0.4254385964912281,0.5464684014869888,0.9913849509269357,0.6983622586164753,-0.0,0.0,61,7.398933288465795
Yoane Wissa,"Forward, left winger",20,218,17479,Brentford,0.0,0.5643564356435643,0.15492957746478875,0.09210526315789475,0.2936802973977696,0.8941112322791711,0.7597164507455391,-0.30379746835443033,0.40542972851357434,48,7.2921707607075295
Stephy Mavididi,"Forward, winger",21,108,9121,Leicester City,0.27208480565371024,0.2079207920792079,0.09859154929577467,0.4166666666666667,0.35315985130111527,0.897164667393675,0.523832803715473,-0.08860759493670886,0.3214339283035848,45,7.25150675070212
Dominic Solanke,Striker,18,92,4292,Tottenham Hotspur,0.02120141342756184,0.38613861386138615,0.2394366197183099,0.17324561403508773,0.24907063197026025,0.7920392584514722,0.7638719139574677,-0.13924050632911392,0.32818359082045895,58,7.190587061398033
Antoine Semenyo,"Striker, winger, second striker",22,148,145583,AFC Bournemouth,0.0706713780918728,0.32673267326732675,0.19718309859154934,0.4078947368421053,0.42379182156133827,0.8495092693565977,0.5640430212661941,-0.2151898734177215,0.17309134543272836,46,7.091308471951159
Jhon Durán,Forward,20,158,196605,Aston Villa,0.0,1.0,0.0,0.0986842105263158,0.07806691449814127,0.7718647764449291,0.733317037399169,-0.47468354430379744,0.4199790010499475,50,7.086458039154895
Crysencio Summerville,Winger,19,153,195825,West Ham United,0.3674911660777385,0.1188118811881188,0.16901408450704225,0.32894736842105265,0.3308550185873606,0.8544165757906216,0.7638719139574677,-0.2911392405063291,0.18749062546872655,47,7.04016403505728
Danny Welbeck,Forward,17,209,3406,Brighton & Hove Albion,0.0,0.4158415841584158,0.19718309859154934,0.11622807017543861,0.2788104089219331,0.9233369683751363,0.6110975311659742,-0.09493670886075949,0.3461826908654567,53,6.927837570877667
Nicolas Jackson,Striker,22,152,690563,Chelsea,0.02826855123674912,0.4752475247524752,0.3802816901408451,0.2149122807017544,0.3457249070631971,0.8536532170119957,0.6450745538988023,-0.5759493670886076,0.20833958302084896,58,6.866621930969997
