Player,Position,Appearances,Club ID,Player ID,Team Name,interceptions_per_90_overall,aerial_duels_won_per_90_overall,duels_won_per_90_overall,conceded_per_90_overall,pass_completion_rate_overall,cards_per_90_overall,fouls_committed_per_90_overall,dribbled_past_per_90_overall,dispossesed_per_90_overall,goals_per_90_overall,key_passes_per_90_overall,assists_per_90_overall,dribbles_successful_per_90_overall,tackles_per_90_overall,Team Possession,Composite_Score
Mats Wieffer,Defensive midfielder,13,209,192670,Brighton & Hove Albion,0.6200000000000001,0.8469945355191256,0.6069686411149826,-0.5938566552901023,0.9211249735673505,-0.35779816513761464,-0.6930946291560103,-0.34526854219948855,-0.2966751918158568,0.29230769230769227,0.1615598885793872,0.7090909090909091,0.238390092879257,0.6226993865030674,53,6.13418539125583
Christopher Nkunku,"Forward, attacking midfielder",19,152,3380,Chelsea,0.37200000000000005,0.505464480874317,0.402787456445993,-0.5119453924914675,0.9684922816663142,-0.19266055045871558,-0.5907928388746804,-0.0,-0.2966751918158568,0.6615384615384615,0.5793871866295265,0.3818181818181818,0.3591331269349845,0.1058282208588957,58,5.45448823361498
Mikel Merino,Midfielder,15,59,1371,Arsenal,0.6200000000000001,0.9098360655737704,0.5219512195121951,-0.3651877133105802,0.8495453584267286,-0.2201834862385321,-0.6086956521739131,-0.33503836317135555,-0.2736572890025576,0.3692307692307692,0.2646239554317549,0.21818181818181817,0.07430340557275542,0.34662576687116564,55,5.421572453078982
Rodrigo Bentancur,Central midfielder,13,92,471499,Tottenham Hotspur,0.8320000000000001,0.5327868852459016,0.38954703832752613,-0.5494880546075085,0.9407908648762953,-0.5321100917431192,-0.5652173913043479,-0.19948849104859337,-0.2327365728900256,0.3538461538461538,0.10863509749303622,0.0,0.12074303405572756,0.4386503067484662,58,5.411067103956092
Ryan Gravenberch,Midfielder,22,151,191755,Liverpool,0.6080000000000001,0.21584699453551912,0.3526132404181184,-0.3071672354948805,0.94353986043561,-0.17431192660550457,-0.38874680306905374,-0.15089514066496162,-0.1381074168797954,0.0,0.24512534818941506,0.16363636363636364,0.2879256965944273,0.2791411042944785,59,5.236750251299237
Moisés Caicedo,Central midfielder,23,152,574831,Chelsea,0.592,0.30327868852459017,0.4313588850174216,-0.39249146757679176,0.94353986043561,-0.2385321100917431,-0.5191815856777493,-0.18925831202046037,-0.14066496163682868,0.061538461538461535,0.24512534818941506,0.16363636363636364,0.14241486068111456,0.46779141104294475,58,5.236175416131228
Ramón Sosa Acosta,Unknown,14,211,632198,Nottingham Forest,0.492,0.3360655737704918,0.572822299651568,-0.39931740614334466,0.8015436667371537,-0.35779816513761464,-0.6317135549872124,-0.10485933503836317,-0.31457800511508954,0.6,0.8022284122562674,0.0,0.8916408668730651,0.25153374233128833,40,5.139901432195772
Matheus Nunes,Midfielder,15,93,191756,Manchester City,0.20400000000000001,0.3469945355191256,0.4529616724738676,-0.3856655290102388,0.9269401564812857,-0.2110091743119266,-0.5856777493606139,-0.26086956521739135,-0.1636828644501279,0.0,0.5682451253481895,0.8181818181818181,0.39318885448916413,0.4110429447852761,61,5.086411051993637
Mario Lemina,Defensive midfielder,17,223,3269,Wolverhampton Wanderers,0.6880000000000001,0.4153005464480874,0.37212543554006966,-0.764505119453925,0.8605413406639881,-0.2385321100917431,-0.28644501278772383,-0.1687979539641944,-0.1687979539641944,0.1076923076923077,0.1838440111420613,0.36363636363636365,0.1826625386996904,0.5260736196319019,47,4.962038688318954
Amadou Onana,Defensive midfielder,16,158,184723,Aston Villa,0.656,0.4262295081967213,0.4641114982578397,-0.47098976109215007,0.9459716641996193,-0.3211009174311926,-0.5089514066496164,-0.1764705882352941,-0.1764705882352941,0.26153846153846155,0.07242339832869081,0.0,0.24148606811145512,0.43711656441717794,50,4.9270869432562785
