match_id,competition_id,season,game_week,homeID,home_name,awayID,away_name,RA,RB,RA_new,RB_new,RA_change,RB_change,result,homeGoalCount,awayGoalCount
898868,4200,2010/2011,1,47,Hertha BSC,6773,Rot-Weiß Oberhausen,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,3,2
898870,4200,2010/2011,1,554,FSV Frankfurt,543,Arminia Bielefeld,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,2,1
898873,4200,2010/2011,1,6772,Alemannia Aachen,541,Union Berlin,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,2,2
898875,4200,2010/2011,1,53,Paderborn,551,Erzgebirge Aue,1500.00,1500.00,1484.00,1516.00,-16.00,16.00,away_win,0,1
898877,4200,2010/2011,1,45,Ingolstadt,50,Augsburg,1500.00,1500.00,1484.00,1516.00,-16.00,16.00,away_win,1,4
898879,4200,2010/2011,1,572,Energie Cottbus,545,Fortuna Düsseldorf,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,2,0
898881,4200,2010/2011,1,544,Greuther Fürth,547,Karlsruher SC,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,4,1
898883,4200,2010/2011,1,562,Osnabrück,553,MSV Duisburg,1500.00,1500.00,1484.00,1516.00,-16.00,16.00,away_win,1,3
898885,4200,2010/2011,1,540,Bochum,546,1860 München,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,3,2
898887,4200,2010/2011,2,50,Augsburg,53,Paderborn,1516.00,1484.00,1530.53,1469.47,14.53,-14.53,home_win,1,0
898889,4200,2010/2011,2,6773,Rot-Weiß Oberhausen,554,FSV Frankfurt,1484.00,1516.00,1501.47,1498.53,17.47,-17.47,home_win,1,0
898891,4200,2010/2011,2,551,Erzgebirge Aue,540,Bochum,1516.00,1516.00,1532.00,1500.00,16.00,-16.00,home_win,1,0
898893,4200,2010/2011,2,553,MSV Duisburg,45,Ingolstadt,1516.00,1484.00,1530.53,1469.47,14.53,-14.53,home_win,4,1
898895,4200,2010/2011,2,541,Union Berlin,544,Greuther Fürth,1500.00,1516.00,1484.74,1531.26,-15.26,15.26,away_win,1,2
898897,4200,2010/2011,2,543,Arminia Bielefeld,572,Energie Cottbus,1484.00,1516.00,1469.47,1530.53,-14.53,14.53,away_win,1,2
898899,4200,2010/2011,2,546,1860 München,562,Osnabrück,1484.00,1484.00,1500.00,1468.00,16.00,-16.00,home_win,3,1
898901,4200,2010/2011,2,547,Karlsruher SC,6772,Alemannia Aachen,1484.00,1500.00,1500.74,1483.26,16.74,-16.74,home_win,3,0
898903,4200,2010/2011,2,545,Fortuna Düsseldorf,47,Hertha BSC,1484.00,1516.00,1469.47,1530.53,-14.53,14.53,away_win,1,2
898905,4200,2010/2011,3,53,Paderborn,541,Union Berlin,1469.47,1484.74,1486.17,1468.03,16.70,-16.70,home_win,2,0
898907,4200,2010/2011,3,562,Osnabrück,551,Erzgebirge Aue,1468.00,1532.00,1486.91,1513.09,18.91,-18.91,home_win,3,2
898909,4200,2010/2011,3,45,Ingolstadt,6773,Rot-Weiß Oberhausen,1469.47,1501.47,1454.94,1516.00,-14.53,14.53,away_win,1,2
898911,4200,2010/2011,3,553,MSV Duisburg,546,1860 München,1530.53,1500.00,1545.13,1485.40,14.60,-14.60,home_win,2,1
898913,4200,2010/2011,3,554,FSV Frankfurt,545,Fortuna Düsseldorf,1498.53,1469.47,1513.20,1454.80,14.66,-14.66,home_win,1,0
898915,4200,2010/2011,3,540,Bochum,50,Augsburg,1500.00,1530.53,1485.40,1545.13,-14.60,14.60,away_win,0,2
898917,4200,2010/2011,3,47,Hertha BSC,543,Arminia Bielefeld,1530.53,1469.47,1543.75,1456.25,13.22,-13.22,home_win,3,1
898919,4200,2010/2011,3,544,Greuther Fürth,6772,Alemannia Aachen,1531.26,1483.26,1529.07,1485.46,-2.20,2.20,draw,1,1
898921,4200,2010/2011,3,572,Energie Cottbus,547,Karlsruher SC,1530.53,1500.74,1529.16,1502.11,-1.37,1.37,draw,5,5
898923,4200,2010/2011,4,544,Greuther Fürth,554,FSV Frankfurt,1529.07,1513.20,1544.34,1497.93,15.27,-15.27,home_win,1,0
898925,4200,2010/2011,4,541,Union Berlin,47,Hertha BSC,1468.03,1543.75,1471.47,1540.31,3.43,-3.43,draw,1,1
898928,4200,2010/2011,4,6772,Alemannia Aachen,572,Energie Cottbus,1485.46,1529.16,1471.46,1543.16,-14.00,14.00,away_win,2,3
898930,4200,2010/2011,4,547,Karlsruher SC,53,Paderborn,1502.11,1486.17,1517.37,1470.91,15.27,-15.27,home_win,2,1
898932,4200,2010/2011,4,6773,Rot-Weiß Oberhausen,540,Bochum,1516.00,1485.40,1530.59,1470.81,14.59,-14.59,home_win,3,1
898934,4200,2010/2011,4,50,Augsburg,562,Osnabrück,1545.13,1486.91,1542.47,1489.57,-2.66,2.66,draw,2,2
898935,4200,2010/2011,4,545,Fortuna Düsseldorf,546,1860 München,1454.80,1485.40,1440.21,1500.00,-14.59,14.59,away_win,1,2
898937,4200,2010/2011,4,543,Arminia Bielefeld,45,Ingolstadt,1456.25,1454.94,1472.19,1439.00,15.94,-15.94,home_win,1,0
898939,4200,2010/2011,4,551,Erzgebirge Aue,553,MSV Duisburg,1513.09,1545.13,1530.56,1527.66,17.47,-17.47,home_win,1,0
898941,4200,2010/2011,5,47,Hertha BSC,547,Karlsruher SC,1540.31,1517.37,1555.26,1502.43,14.94,-14.94,home_win,4,0
898943,4200,2010/2011,5,53,Paderborn,6773,Rot-Weiß Oberhausen,1470.91,1530.59,1473.63,1527.87,2.72,-2.72,draw,0,0
898945,4200,2010/2011,5,572,Energie Cottbus,544,Greuther Fürth,1543.16,1544.34,1559.21,1528.28,16.05,-16.05,home_win,2,0
898947,4200,2010/2011,5,554,FSV Frankfurt,6772,Alemannia Aachen,1497.93,1471.46,1480.71,1488.68,-17.22,17.22,away_win,1,3
898949,4200,2010/2011,5,540,Bochum,543,Arminia Bielefeld,1470.81,1472.19,1486.87,1456.13,16.06,-16.06,home_win,3,1
898951,4200,2010/2011,5,553,MSV Duisburg,50,Augsburg,1527.66,1542.47,1544.34,1525.79,16.68,-16.68,home_win,1,0
898953,4200,2010/2011,5,546,1860 München,551,Erzgebirge Aue,1500.00,1530.56,1501.40,1529.15,1.40,-1.40,draw,0,0
898955,4200,2010/2011,5,562,Osnabrück,541,Union Berlin,1489.57,1471.47,1504.74,1456.30,15.17,-15.17,home_win,4,1
898957,4200,2010/2011,5,45,Ingolstadt,545,Fortuna Düsseldorf,1439.00,1440.21,1455.06,1424.15,16.06,-16.06,home_win,3,0
898959,4200,2010/2011,6,572,Energie Cottbus,47,Hertha BSC,1559.21,1555.26,1543.03,1571.44,-16.18,16.18,away_win,0,1
898960,4200,2010/2011,6,547,Karlsruher SC,554,FSV Frankfurt,1502.43,1480.71,1485.43,1497.71,-17.00,17.00,away_win,0,2
898962,4200,2010/2011,6,6772,Alemannia Aachen,53,Paderborn,1488.68,1473.63,1503.99,1458.32,15.31,-15.31,home_win,2,0
898964,4200,2010/2011,6,543,Arminia Bielefeld,551,Erzgebirge Aue,1456.13,1529.15,1443.44,1541.84,-12.69,12.69,away_win,0,1
898966,4200,2010/2011,6,544,Greuther Fürth,45,Ingolstadt,1528.28,1455.06,1540.96,1442.38,12.68,-12.68,home_win,1,0
898968,4200,2010/2011,6,50,Augsburg,546,1860 München,1525.79,1501.40,1508.67,1518.52,-17.12,17.12,away_win,1,2
898970,4200,2010/2011,6,541,Union Berlin,553,MSV Duisburg,1456.30,1544.34,1476.27,1524.37,19.97,-19.97,home_win,2,0
898972,4200,2010/2011,6,6773,Rot-Weiß Oberhausen,562,Osnabrück,1527.87,1504.74,1542.81,1489.80,14.94,-14.94,home_win,1,0
898974,4200,2010/2011,6,545,Fortuna Düsseldorf,540,Bochum,1424.15,1486.87,1411.01,1500.01,-13.14,13.14,away_win,0,1
898976,4200,2010/2011,7,53,Paderborn,543,Arminia Bielefeld,1458.32,1443.44,1473.64,1428.13,15.32,-15.32,home_win,3,1
898978,4200,2010/2011,7,553,MSV Duisburg,6773,Rot-Weiß Oberhausen,1524.37,1542.81,1541.22,1525.96,16.85,-16.85,home_win,3,0
