match_id,competition_id,season,game_week,homeID,home_name,awayID,away_name,RA,RB,RA_new,RB_new,RA_change,RB_change,result,homeGoalCount,awayGoalCount
11929,33,2015/2016,1,241,AFC Wimbledon,264,Plymouth Argyle,1500.00,1500.00,1484.00,1516.00,-16.00,16.00,away_win,0,2
11930,33,2015/2016,1,263,Accrington Stanley,271,Luton Town,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,1,1
11931,33,2015/2016,1,244,Bristol Rovers,242,Northampton Town,1500.00,1500.00,1484.00,1516.00,-16.00,16.00,away_win,0,1
11932,33,2015/2016,1,261,Cambridge United,265,Newport County,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,3,0
11933,33,2015/2016,1,268,Exeter City,230,Yeovil Town,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,3,2
11934,33,2015/2016,1,262,Hartlepool United,270,Morecambe,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,2,0
11935,33,2015/2016,1,255,Leyton Orient,269,Barnet,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,2,0
11936,33,2015/2016,1,267,Mansfield Town,257,Carlisle United,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,1,1
11937,33,2015/2016,1,243,Oxford United,254,Crawley Town,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,1,1
11938,33,2015/2016,1,272,Portsmouth,274,Dagenham & Redbridge,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,3,0
11939,33,2015/2016,1,258,Stevenage,256,Notts County,1500.00,1500.00,1484.00,1516.00,-16.00,16.00,away_win,0,2
11940,33,2015/2016,1,266,Wycombe Wanderers,275,York City,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,3,0
11941,33,2015/2016,2,256,Notts County,267,Mansfield Town,1516.00,1500.00,1499.26,1516.74,-16.74,16.74,away_win,0,2
11942,33,2015/2016,2,269,Barnet,266,Wycombe Wanderers,1484.00,1516.00,1469.47,1530.53,-14.53,14.53,away_win,0,2
11943,33,2015/2016,2,257,Carlisle United,261,Cambridge United,1500.00,1516.00,1500.74,1515.26,0.74,-0.74,draw,4,4
11944,33,2015/2016,2,254,Crawley Town,241,AFC Wimbledon,1500.00,1484.00,1483.26,1500.74,-16.74,16.74,away_win,1,2
11945,33,2015/2016,2,274,Dagenham & Redbridge,255,Leyton Orient,1484.00,1516.00,1469.47,1530.53,-14.53,14.53,away_win,1,3
11946,33,2015/2016,2,271,Luton Town,243,Oxford United,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,2,2
11947,33,2015/2016,2,270,Morecambe,263,Accrington Stanley,1484.00,1500.00,1500.74,1483.26,16.74,-16.74,home_win,1,0
11948,33,2015/2016,2,265,Newport County,258,Stevenage,1484.00,1484.00,1484.00,1484.00,0.00,0.00,draw,2,2
11949,33,2015/2016,2,242,Northampton Town,268,Exeter City,1516.00,1516.00,1532.00,1500.00,16.00,-16.00,home_win,3,0
11950,33,2015/2016,2,264,Plymouth Argyle,272,Portsmouth,1516.00,1516.00,1500.00,1532.00,-16.00,16.00,away_win,1,2
11951,33,2015/2016,2,230,Yeovil Town,244,Bristol Rovers,1484.00,1484.00,1468.00,1500.00,-16.00,16.00,away_win,0,1
11952,33,2015/2016,2,275,York City,262,Hartlepool United,1484.00,1516.00,1469.47,1530.53,-14.53,14.53,away_win,1,2
11953,33,2015/2016,3,241,AFC Wimbledon,261,Cambridge United,1500.74,1515.26,1485.40,1530.60,-15.33,15.33,away_win,1,2
11954,33,2015/2016,3,263,Accrington Stanley,267,Mansfield Town,1483.26,1516.74,1500.80,1499.20,17.54,-17.54,home_win,1,0
11955,33,2015/2016,3,269,Barnet,242,Northampton Town,1469.47,1532.00,1488.32,1513.15,18.85,-18.85,home_win,2,0
11956,33,2015/2016,3,254,Crawley Town,272,Portsmouth,1483.26,1532.00,1485.49,1529.77,2.23,-2.23,draw,0,0
11957,33,2015/2016,3,274,Dagenham & Redbridge,268,Exeter City,1469.47,1500.00,1454.87,1514.60,-14.60,14.60,away_win,1,2
11958,33,2015/2016,3,262,Hartlepool United,265,Newport County,1530.53,1484.00,1544.40,1470.13,13.87,-13.87,home_win,1,0
11959,33,2015/2016,3,255,Leyton Orient,258,Stevenage,1530.53,1484.00,1544.40,1470.13,13.87,-13.87,home_win,3,0
11960,33,2015/2016,3,271,Luton Town,244,Bristol Rovers,1500.00,1500.00,1484.00,1516.00,-16.00,16.00,away_win,0,1
