match_id,competition_id,season,game_week,homeID,home_name,awayID,away_name,RA,RB,RA_new,RB_new,RA_change,RB_change,result,homeGoalCount,awayGoalCount
905661,4238,2010/2011,1,172,Sporting Braga,1025,Portimonense,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,3,1
905668,4238,2010/2011,1,177,CS Marítimo,170,Vitória Setúbal,1500.00,1500.00,1484.00,1516.00,-16.00,16.00,away_win,0,1
905675,4238,2010/2011,1,4912,Naval 1º de Maio,82,Porto,1500.00,1500.00,1484.00,1516.00,-16.00,16.00,away_win,0,1
905682,4238,2010/2011,1,173,Paços de Ferreira,114,Sporting CP,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,1,0
905689,4238,2010/2011,1,171,Rio Ave FC,163,CD Nacional,1500.00,1500.00,1484.00,1516.00,-16.00,16.00,away_win,0,1
905695,4238,2010/2011,1,15808,SC Beira-Mar,4880,União de Leiria,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,0,0
905703,4238,2010/2011,1,78,Benfica,179,Associação Académica de Coimbra OAF,1500.00,1500.00,1484.00,1516.00,-16.00,16.00,away_win,1,2
905709,4238,2010/2011,1,184,SC Olhanense,175,Vitória Guimarães,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,0,0
905715,4238,2010/2011,2,179,Associação Académica de Coimbra OAF,184,SC Olhanense,1516.00,1500.00,1515.26,1500.74,-0.74,0.74,draw,1,1
905722,4238,2010/2011,2,170,Vitória Setúbal,172,Sporting Braga,1516.00,1516.00,1516.00,1516.00,0.00,0.00,draw,0,0
905728,4238,2010/2011,2,163,CD Nacional,78,Benfica,1516.00,1484.00,1530.53,1469.47,14.53,-14.53,home_win,2,1
905735,4238,2010/2011,2,1025,Portimonense,4912,Naval 1º de Maio,1484.00,1484.00,1468.00,1500.00,-16.00,16.00,away_win,0,1
905741,4238,2010/2011,2,4880,União de Leiria,173,Paços de Ferreira,1500.00,1516.00,1500.74,1515.26,0.74,-0.74,draw,0,0
905747,4238,2010/2011,2,114,Sporting CP,177,CS Marítimo,1484.00,1484.00,1500.00,1468.00,16.00,-16.00,home_win,1,0
905755,4238,2010/2011,2,82,Porto,15808,SC Beira-Mar,1516.00,1500.00,1531.26,1484.74,15.26,-15.26,home_win,3,0
905761,4238,2010/2011,2,175,Vitória Guimarães,171,Rio Ave FC,1500.00,1484.00,1499.26,1484.74,-0.74,0.74,draw,0,0
905767,4238,2010/2011,3,163,CD Nacional,175,Vitória Guimarães,1530.53,1499.26,1513.09,1516.70,-17.44,17.44,away_win,1,3
905773,4238,2010/2011,3,78,Benfica,170,Vitória Setúbal,1469.47,1516.00,1487.60,1497.87,18.13,-18.13,home_win,3,0
905782,4238,2010/2011,3,173,Paços de Ferreira,1025,Portimonense,1515.26,1468.00,1513.10,1470.16,-2.16,2.16,draw,2,2
905789,4238,2010/2011,3,15808,SC Beira-Mar,179,Associação Académica de Coimbra OAF,1484.74,1515.26,1502.14,1497.86,17.40,-17.40,home_win,2,1
905795,4238,2010/2011,3,172,Sporting Braga,177,CS Marítimo,1516.00,1468.00,1529.80,1454.20,13.80,-13.80,home_win,1,0
905801,4238,2010/2011,3,184,SC Olhanense,4880,União de Leiria,1500.74,1500.74,1516.74,1484.74,16.00,-16.00,home_win,1,0
905807,4238,2010/2011,3,171,Rio Ave FC,82,Porto,1484.74,1531.26,1470.87,1545.13,-13.87,13.87,away_win,0,2
905814,4238,2010/2011,3,4912,Naval 1º de Maio,114,Sporting CP,1500.00,1500.00,1484.00,1516.00,-16.00,16.00,away_win,1,3
905820,4238,2010/2011,4,175,Vitória Guimarães,78,Benfica,1516.70,1487.60,1531.36,1472.94,14.66,-14.66,home_win,2,1
905827,4238,2010/2011,4,114,Sporting CP,184,SC Olhanense,1516.00,1516.74,1516.03,1516.70,0.03,-0.03,draw,0,0
905834,4238,2010/2011,4,82,Porto,172,Sporting Braga,1545.13,1529.80,1560.43,1514.51,15.29,-15.29,home_win,3,2
905841,4238,2010/2011,4,177,CS Marítimo,173,Paços de Ferreira,1454.20,1513.10,1456.88,1510.41,2.69,-2.69,draw,1,1
905847,4238,2010/2011,4,1025,Portimonense,171,Rio Ave FC,1470.16,1470.87,1486.20,1454.83,16.03,-16.03,home_win,3,1
905853,4238,2010/2011,4,4880,União de Leiria,163,CD Nacional,1484.74,1513.09,1502.04,1495.79,17.30,-17.30,home_win,2,1
905862,4238,2010/2011,4,179,Associação Académica de Coimbra OAF,4912,Naval 1º de Maio,1497.86,1484.00,1513.22,1468.64,15.36,-15.36,home_win,3,0
905869,4238,2010/2011,4,170,Vitória Setúbal,15808,SC Beira-Mar,1497.87,1502.14,1498.07,1501.94,0.20,-0.20,draw,0,0
905876,4238,2010/2011,5,184,SC Olhanense,1025,Portimonense,1516.70,1486.20,1531.30,1471.60,14.60,-14.60,home_win,2,0
905882,4238,2010/2011,5,15808,SC Beira-Mar,177,CS Marítimo,1501.94,1456.88,1499.88,1458.95,-2.06,2.06,draw,1,1
905889,4238,2010/2011,5,175,Vitória Guimarães,4880,União de Leiria,1531.36,1502.04,1546.02,1487.39,14.65,-14.65,home_win,1,0
905895,4238,2010/2011,5,171,Rio Ave FC,179,Associação Académica de Coimbra OAF,1454.83,1513.22,1457.50,1510.56,2.66,-2.66,draw,2,2
905902,4238,2010/2011,5,4912,Naval 1º de Maio,170,Vitória Setúbal,1468.64,1498.07,1469.99,1496.71,1.35,-1.35,draw,0,0
905908,4238,2010/2011,5,173,Paços de Ferreira,172,Sporting Braga,1510.41,1514.51,1510.60,1514.32,0.19,-0.19,draw,2,2
905916,4238,2010/2011,5,78,Benfica,114,Sporting CP,1472.94,1516.03,1490.91,1498.06,17.97,-17.97,home_win,2,0
905922,4238,2010/2011,5,163,CD Nacional,82,Porto,1495.79,1560.43,1482.73,1573.49,-13.06,13.06,away_win,0,2
905928,4238,2010/2011,6,172,Sporting Braga,4912,Naval 1º de Maio,1514.32,1469.99,1528.29,1456.02,13.97,-13.97,home_win,3,1
905935,4238,2010/2011,6,179,Associação Académica de Coimbra OAF,175,Vitória Guimarães,1510.56,1546.02,1528.19,1528.39,17.63,-17.63,home_win,3,1
905941,4238,2010/2011,6,177,CS Marítimo,78,Benfica,1458.95,1490.91,1444.41,1505.44,-14.53,14.53,away_win,0,1
905948,4238,2010/2011,6,82,Porto,184,SC Olhanense,1573.49,1531.30,1587.55,1517.23,14.07,-14.07,home_win,2,0
905955,4238,2010/2011,6,4880,União de Leiria,171,Rio Ave FC,1487.39,1457.50,1502.01,1442.87,14.63,-14.63,home_win,1,0
