match_id,competition_id,season,game_week,homeID,home_name,awayID,away_name,RA,RB,RA_new,RB_new,RA_change,RB_change,result,homeGoalCount,awayGoalCount
919789,4309,2010/2011,1,1026,Sporting Covilhã,1030,Leixões,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,2,1
919790,4309,2010/2011,1,168,Belenenses,1024,CD Aves,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,1,1
919791,4309,2010/2011,1,1034,Varzim,182,FC Penafiel,1500.00,1500.00,1484.00,1516.00,-16.00,16.00,away_win,3,4
919792,4309,2010/2011,1,166,CD Feirense,4881,Freamunde,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,0,0
919793,4309,2010/2011,1,183,Gil Vicente,4855,CD Trofense,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,2,1
919794,4309,2010/2011,1,174,Moreirense FC,164,GD Estoril Praia,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,1,0
919795,4309,2010/2011,1,1028,Santa Clara,167,FC Arouca,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,1,1
919796,4309,2010/2011,1,1038,UD Oliveirense,4829,Fátima,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,1,0
919797,4309,2010/2011,2,182,FC Penafiel,168,Belenenses,1516.00,1500.00,1515.26,1500.74,-0.74,0.74,draw,0,0
919798,4309,2010/2011,2,1030,Leixões,1028,Santa Clara,1484.00,1500.00,1500.74,1483.26,16.74,-16.74,home_win,1,0
919799,4309,2010/2011,2,167,FC Arouca,166,CD Feirense,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,2,2
919800,4309,2010/2011,2,1024,CD Aves,1038,UD Oliveirense,1500.00,1516.00,1516.74,1499.26,16.74,-16.74,home_win,3,0
919801,4309,2010/2011,2,4855,CD Trofense,174,Moreirense FC,1484.00,1516.00,1501.47,1498.53,17.47,-17.47,home_win,1,0
919802,4309,2010/2011,2,4881,Freamunde,183,Gil Vicente,1500.00,1516.00,1484.74,1531.26,-15.26,15.26,away_win,0,1
919803,4309,2010/2011,2,4829,Fátima,1034,Varzim,1484.00,1484.00,1500.00,1468.00,16.00,-16.00,home_win,1,0
919804,4309,2010/2011,2,164,GD Estoril Praia,1026,Sporting Covilhã,1484.00,1516.00,1501.47,1498.53,17.47,-17.47,home_win,3,1
919805,4309,2010/2011,3,183,Gil Vicente,1030,Leixões,1531.26,1500.74,1529.86,1502.14,-1.40,1.40,draw,0,0
919806,4309,2010/2011,3,166,CD Feirense,1028,Santa Clara,1500.00,1483.26,1515.23,1468.03,15.23,-15.23,home_win,1,0
919807,4309,2010/2011,3,1034,Varzim,4855,CD Trofense,1468.00,1501.47,1469.54,1499.93,1.54,-1.54,draw,0,0
919808,4309,2010/2011,3,182,FC Penafiel,4829,Fátima,1515.26,1500.00,1530.56,1484.70,15.30,-15.30,home_win,2,1
919809,4309,2010/2011,3,1026,Sporting Covilhã,4881,Freamunde,1498.53,1484.74,1513.90,1469.37,15.37,-15.37,home_win,1,0
919810,4309,2010/2011,3,174,Moreirense FC,1024,CD Aves,1498.53,1516.74,1515.37,1499.90,16.84,-16.84,home_win,1,0
919811,4309,2010/2011,3,1038,UD Oliveirense,164,GD Estoril Praia,1499.26,1501.47,1499.37,1501.37,0.10,-0.10,draw,1,1
919812,4309,2010/2011,3,168,Belenenses,167,FC Arouca,1500.74,1500.00,1516.70,1484.03,15.97,-15.97,home_win,1,0
919813,4309,2010/2011,4,164,GD Estoril Praia,182,FC Penafiel,1501.37,1530.56,1518.71,1513.22,17.34,-17.34,home_win,2,0
919814,4309,2010/2011,4,1024,CD Aves,183,Gil Vicente,1499.90,1529.86,1485.28,1544.49,-14.62,14.62,away_win,1,2
919815,4309,2010/2011,4,167,FC Arouca,174,Moreirense FC,1484.03,1515.37,1501.47,1497.93,17.44,-17.44,home_win,3,0
919816,4309,2010/2011,4,4829,Fátima,168,Belenenses,1484.70,1516.70,1502.17,1499.23,17.47,-17.47,home_win,4,2
919817,4309,2010/2011,4,4855,CD Trofense,166,CD Feirense,1499.93,1515.23,1500.64,1514.53,0.70,-0.70,draw,0,0
919818,4309,2010/2011,4,4881,Freamunde,1034,Varzim,1469.37,1469.54,1469.38,1469.53,0.01,-0.01,draw,0,0
919819,4309,2010/2011,4,1028,Santa Clara,1026,Sporting Covilhã,1468.03,1513.90,1486.13,1495.80,18.10,-18.10,home_win,3,1
919820,4309,2010/2011,4,1030,Leixões,1038,UD Oliveirense,1502.14,1499.37,1502.01,1499.49,-0.13,0.13,draw,1,1
919821,4309,2010/2011,5,1038,UD Oliveirense,4881,Freamunde,1499.49,1469.38,1498.11,1470.76,-1.38,1.38,draw,1,1
919822,4309,2010/2011,5,182,FC Penafiel,4855,CD Trofense,1513.22,1500.64,1512.64,1501.22,-0.58,0.58,draw,1,1
919823,4309,2010/2011,5,168,Belenenses,1030,Leixões,1499.23,1502.01,1499.36,1501.88,0.13,-0.13,draw,0,0
919824,4309,2010/2011,5,183,Gil Vicente,167,FC Arouca,1544.49,1501.47,1542.51,1503.44,-1.97,1.97,draw,1,1
919825,4309,2010/2011,5,1034,Varzim,1024,CD Aves,1469.53,1485.28,1470.25,1484.55,0.72,-0.72,draw,1,1
919826,4309,2010/2011,5,4829,Fátima,164,GD Estoril Praia,1502.17,1518.71,1502.93,1517.95,0.76,-0.76,draw,2,2
919827,4309,2010/2011,5,1026,Sporting Covilhã,166,CD Feirense,1495.80,1514.53,1480.66,1529.66,-15.14,15.14,away_win,0,3
919828,4309,2010/2011,5,174,Moreirense FC,1028,Santa Clara,1497.93,1486.13,1513.39,1470.68,15.46,-15.46,home_win,1,0
919829,4309,2010/2011,6,1030,Leixões,182,FC Penafiel,1501.88,1512.64,1518.38,1496.15,16.50,-16.50,home_win,2,1
919830,4309,2010/2011,6,1028,Santa Clara,168,Belenenses,1470.68,1499.36,1487.99,1482.04,17.32,-17.32,home_win,2,0
919831,4309,2010/2011,6,167,FC Arouca,1026,Sporting Covilhã,1503.44,1480.66,1518.40,1465.71,14.95,-14.95,home_win,2,0
919832,4309,2010/2011,6,166,CD Feirense,183,Gil Vicente,1529.66,1542.51,1514.26,1557.92,-15.41,15.41,away_win,0,1
919833,4309,2010/2011,6,4881,Freamunde,174,Moreirense FC,1470.76,1513.39,1488.72,1495.43,17.95,-17.95,home_win,1,0
919834,4309,2010/2011,6,164,GD Estoril Praia,1034,Varzim,1517.95,1470.25,1515.77,1472.44,-2.18,2.18,draw,0,0
919835,4309,2010/2011,6,4855,CD Trofense,1038,UD Oliveirense,1501.22,1498.11,1517.07,1482.25,15.86,-15.86,home_win,3,2
919836,4309,2010/2011,6,1024,CD Aves,4829,Fátima,1484.55,1502.93,1501.40,1486.09,16.85,-16.85,home_win,2,0
919837,4309,2010/2011,7,1038,UD Oliveirense,167,FC Arouca,1482.25,1518.40,1483.91,1516.74,1.66,-1.66,draw,2,2
919838,4309,2010/2011,7,164,GD Estoril Praia,1024,CD Aves,1515.77,1501.40,1531.10,1486.06,15.34,-15.34,home_win,2,0
919839,4309,2010/2011,7,182,FC Penafiel,4881,Freamunde,1496.15,1488.72,1511.80,1473.06,15.66,-15.66,home_win,3,2
919840,4309,2010/2011,7,174,Moreirense FC,1030,Leixões,1495.43,1518.38,1496.49,1517.32,1.06,-1.06,draw,0,0
919841,4309,2010/2011,7,168,Belenenses,166,CD Feirense,1482.04,1514.26,1467.52,1528.78,-14.52,14.52,away_win,1,2
919842,4309,2010/2011,7,4829,Fátima,4855,CD Trofense,1486.09,1517.07,1471.51,1531.65,-14.58,14.58,away_win,0,2
919843,4309,2010/2011,7,1034,Varzim,1028,Santa Clara,1472.44,1487.99,1473.15,1487.28,0.72,-0.72,draw,0,0
919844,4309,2010/2011,7,183,Gil Vicente,1026,Sporting Covilhã,1557.92,1465.71,1553.77,1469.86,-4.15,4.15,draw,1,1
919845,4309,2010/2011,8,4855,CD Trofense,164,GD Estoril Praia,1531.65,1531.10,1547.62,1515.13,15.97,-15.97,home_win,2,1
919846,4309,2010/2011,8,167,FC Arouca,4829,Fátima,1516.74,1471.51,1530.67,1457.58,13.93,-13.93,home_win,3,0
919847,4309,2010/2011,8,166,CD Feirense,1038,UD Oliveirense,1528.78,1483.91,1510.72,1501.97,-18.05,18.05,away_win,2,3
919848,4309,2010/2011,8,1024,CD Aves,182,FC Penafiel,1486.06,1511.80,1471.24,1526.62,-14.82,14.82,away_win,0,1
919849,4309,2010/2011,8,4881,Freamunde,168,Belenenses,1473.06,1467.52,1472.80,1467.78,-0.25,0.25,draw,2,2
919850,4309,2010/2011,8,1026,Sporting Covilhã,174,Moreirense FC,1469.86,1496.49,1487.08,1479.26,17.22,-17.22,home_win,2,1
919851,4309,2010/2011,8,1030,Leixões,1034,Varzim,1517.32,1473.15,1499.30,1491.18,-18.02,18.02,away_win,3,4
919852,4309,2010/2011,8,1028,Santa Clara,183,Gil Vicente,1487.28,1553.77,1506.30,1534.75,19.03,-19.03,home_win,3,1
919853,4309,2010/2011,9,1034,Varzim,166,CD Feirense,1491.18,1510.72,1508.07,1493.82,16.90,-16.90,home_win,2,0
919854,4309,2010/2011,9,174,Moreirense FC,183,Gil Vicente,1479.26,1534.75,1481.80,1532.21,2.53,-2.53,draw,1,1
919855,4309,2010/2011,9,1024,CD Aves,4855,CD Trofense,1471.24,1547.62,1474.70,1544.16,3.46,-3.46,draw,1,1
919856,4309,2010/2011,9,1038,UD Oliveirense,1028,Santa Clara,1501.97,1506.30,1518.17,1490.10,16.20,-16.20,home_win,2,0
919857,4309,2010/2011,9,4829,Fátima,4881,Freamunde,1457.58,1472.80,1458.28,1472.10,0.70,-0.70,draw,2,2
919858,4309,2010/2011,9,164,GD Estoril Praia,1030,Leixões,1515.13,1499.30,1498.40,1516.03,-16.73,16.73,away_win,0,1
919859,4309,2010/2011,9,182,FC Penafiel,167,FC Arouca,1526.62,1530.67,1510.81,1546.48,-15.81,15.81,away_win,0,1
919860,4309,2010/2011,9,168,Belenenses,1026,Sporting Covilhã,1467.78,1487.08,1452.66,1502.19,-15.11,15.11,away_win,1,3
919861,4309,2010/2011,10,4855,CD Trofense,168,Belenenses,1544.16,1452.66,1524.04,1472.78,-20.12,20.12,away_win,1,2
919862,4309,2010/2011,10,166,CD Feirense,174,Moreirense FC,1493.82,1481.80,1509.27,1466.35,15.45,-15.45,home_win,2,1
919863,4309,2010/2011,10,167,FC Arouca,1034,Varzim,1546.48,1508.07,1544.72,1509.84,-1.76,1.76,draw,3,3
919864,4309,2010/2011,10,1026,Sporting Covilhã,182,FC Penafiel,1502.19,1510.81,1502.59,1510.41,0.40,-0.40,draw,0,0
919865,4309,2010/2011,10,4881,Freamunde,1024,CD Aves,1472.10,1474.70,1488.22,1458.58,16.12,-16.12,home_win,1,0
919866,4309,2010/2011,10,1030,Leixões,4829,Fátima,1516.03,1458.28,1529.39,1444.92,13.36,-13.36,home_win,3,0
919867,4309,2010/2011,10,1028,Santa Clara,164,GD Estoril Praia,1490.10,1498.40,1506.49,1482.02,16.38,-16.38,home_win,1,0
919868,4309,2010/2011,12,1028,Santa Clara,4829,Fátima,1506.49,1444.92,1503.68,1447.72,-2.81,2.81,draw,0,0
919869,4309,2010/2011,12,167,FC Arouca,1024,CD Aves,1544.72,1458.58,1524.83,1478.47,-19.89,19.89,away_win,1,3
919870,4309,2010/2011,10,183,Gil Vicente,1038,UD Oliveirense,1532.21,1518.17,1515.57,1534.81,-16.65,16.65,away_win,0,1
919871,4309,2010/2011,11,4829,Fátima,166,CD Feirense,1447.72,1509.27,1434.53,1522.46,-13.19,13.19,away_win,1,2
919872,4309,2010/2011,11,1038,UD Oliveirense,174,Moreirense FC,1534.81,1466.35,1531.70,1469.46,-3.11,3.11,draw,1,1
919873,4309,2010/2011,11,1024,CD Aves,1030,Leixões,1478.47,1529.39,1480.80,1527.06,2.33,-2.33,draw,2,2
919874,4309,2010/2011,11,182,FC Penafiel,1028,Santa Clara,1510.41,1503.68,1510.10,1503.99,-0.31,0.31,draw,1,1
919875,4309,2010/2011,11,164,GD Estoril Praia,167,FC Arouca,1482.02,1524.83,1499.98,1506.87,17.96,-17.96,home_win,5,2
919876,4309,2010/2011,11,1034,Varzim,1026,Sporting Covilhã,1509.84,1502.59,1525.50,1486.92,15.67,-15.67,home_win,5,2
919877,4309,2010/2011,11,4855,CD Trofense,4881,Freamunde,1524.04,1488.22,1522.40,1489.87,-1.64,1.64,draw,1,1
919878,4309,2010/2011,11,168,Belenenses,183,Gil Vicente,1472.78,1515.57,1490.74,1497.61,17.96,-17.96,home_win,2,0
919879,4309,2010/2011,12,4881,Freamunde,164,GD Estoril Praia,1489.87,1499.98,1490.33,1499.51,0.47,-0.47,draw,2,2
919880,4309,2010/2011,12,166,CD Feirense,182,FC Penafiel,1522.46,1510.10,1537.89,1494.67,15.43,-15.43,home_win,2,1
919881,4309,2010/2011,12,1026,Sporting Covilhã,1038,UD Oliveirense,1486.92,1531.70,1472.97,1545.65,-13.95,13.95,away_win,1,3
919882,4309,2010/2011,12,174,Moreirense FC,168,Belenenses,1469.46,1490.74,1486.44,1473.77,16.98,-16.98,home_win,2,1
919883,4309,2010/2011,12,183,Gil Vicente,1034,Varzim,1497.61,1525.50,1498.89,1524.22,1.28,-1.28,draw,2,2
919884,4309,2010/2011,12,1030,Leixões,4855,CD Trofense,1527.06,1522.40,1510.85,1538.61,-16.21,16.21,away_win,1,2
919885,4309,2010/2011,13,182,FC Penafiel,183,Gil Vicente,1494.67,1498.89,1494.86,1498.69,0.19,-0.19,draw,2,2
919886,4309,2010/2011,13,168,Belenenses,1038,UD Oliveirense,1473.77,1545.65,1477.03,1542.38,3.26,-3.26,draw,3,3
919887,4309,2010/2011,13,164,GD Estoril Praia,166,CD Feirense,1499.51,1537.89,1485.28,1552.13,-14.24,14.24,away_win,0,1
