match_id,competition_id,season,game_week,homeID,home_name,awayID,away_name,RA,RB,RA_new,RB_new,RA_change,RB_change,result,homeGoalCount,awayGoalCount
896517,4185,2012/2013,1,444,Angers SCO,1406,Sedan,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,1,0
896518,4185,2012/2013,1,479,Auxerre,488,Nîmes,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,2,0
896519,4185,2012/2013,1,497,Châteauroux,487,Laval,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,1,1
896520,4185,2012/2013,1,446,Dijon,436,Guingamp,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,1,0
896521,4185,2012/2013,1,489,Gazélec Ajaccio,432,Caen,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,0,0
896522,4185,2012/2013,1,493,Le Havre,496,Arles-Avignon,1500.00,1500.00,1484.00,1516.00,-16.00,16.00,away_win,1,2
896523,4185,2012/2013,1,440,Nantes,1412,Istres,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,1,1
896524,4185,2012/2013,1,482,Niort,490,Clermont,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,1,1
896525,4185,2012/2013,1,449,Lens,3906,Le Mans,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,2,2
896526,4185,2012/2013,1,56,Monaco,492,Tours,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,4,0
896527,4185,2012/2013,2,496,Arles-Avignon,449,Lens,1516.00,1500.00,1515.26,1500.74,-0.74,0.74,draw,0,0
896528,4185,2012/2013,2,490,Clermont,444,Angers SCO,1500.00,1516.00,1484.74,1531.26,-15.26,15.26,away_win,1,2
896529,4185,2012/2013,2,436,Guingamp,493,Le Havre,1484.00,1484.00,1484.00,1484.00,0.00,0.00,draw,3,3
896530,4185,2012/2013,2,1412,Istres,489,Gazélec Ajaccio,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,2,0
896531,4185,2012/2013,2,487,Laval,56,Monaco,1500.00,1516.00,1500.74,1515.26,0.74,-0.74,draw,0,0
896532,4185,2012/2013,2,3906,Le Mans,446,Dijon,1500.00,1516.00,1484.74,1531.26,-15.26,15.26,away_win,1,2
896533,4185,2012/2013,2,1406,Sedan,497,Châteauroux,1484.00,1500.00,1484.74,1499.26,0.74,-0.74,draw,1,1
896534,4185,2012/2013,2,492,Tours,482,Niort,1484.00,1500.00,1484.74,1499.26,0.74,-0.74,draw,2,2
896535,4185,2012/2013,2,432,Caen,479,Auxerre,1500.00,1516.00,1516.74,1499.26,16.74,-16.74,home_win,3,1
896536,4185,2012/2013,2,488,Nîmes,440,Nantes,1484.00,1500.00,1484.74,1499.26,0.74,-0.74,draw,0,0
896537,4185,2012/2013,3,444,Angers SCO,436,Guingamp,1531.26,1484.00,1513.10,1502.16,-18.16,18.16,away_win,1,2
896538,4185,2012/2013,3,497,Châteauroux,3906,Le Mans,1499.26,1484.74,1514.60,1469.40,15.33,-15.33,home_win,1,0
896539,4185,2012/2013,3,446,Dijon,492,Tours,1531.26,1484.74,1545.13,1470.87,13.87,-13.87,home_win,1,0
896540,4185,2012/2013,3,489,Gazélec Ajaccio,496,Arles-Avignon,1484.00,1515.26,1485.44,1513.83,1.44,-1.44,draw,1,1
896541,4185,2012/2013,3,56,Monaco,1412,Istres,1515.26,1516.00,1531.30,1499.97,16.03,-16.03,home_win,3,2
896542,4185,2012/2013,3,440,Nantes,487,Laval,1499.26,1500.74,1515.33,1484.67,16.07,-16.07,home_win,3,1
896543,4185,2012/2013,3,482,Niort,432,Caen,1499.26,1516.74,1516.07,1499.93,16.80,-16.80,home_win,1,0
896544,4185,2012/2013,3,490,Clermont,488,Nîmes,1484.74,1484.74,1500.74,1468.74,16.00,-16.00,home_win,2,1
896545,4185,2012/2013,3,479,Auxerre,1406,Sedan,1499.26,1484.74,1514.60,1469.40,15.33,-15.33,home_win,1,0
896546,4185,2012/2013,3,449,Lens,493,Le Havre,1500.74,1484.00,1515.97,1468.77,15.23,-15.23,home_win,1,0
896547,4185,2012/2013,4,493,Le Havre,489,Gazélec Ajaccio,1468.77,1485.44,1485.54,1468.67,16.77,-16.77,home_win,2,1
896549,4185,2012/2013,4,449,Lens,446,Dijon,1515.97,1545.13,1517.31,1543.79,1.34,-1.34,draw,1,1
896551,4185,2012/2013,4,496,Arles-Avignon,444,Angers SCO,1513.83,1513.10,1529.79,1497.13,15.97,-15.97,home_win,2,0
896554,4185,2012/2013,4,432,Caen,490,Clermont,1499.93,1500.74,1515.97,1484.70,16.04,-16.04,home_win,4,0
896556,4185,2012/2013,4,1412,Istres,497,Châteauroux,1499.97,1514.60,1500.64,1513.92,0.67,-0.67,draw,0,0
896559,4185,2012/2013,4,487,Laval,482,Niort,1484.67,1516.07,1502.11,1498.63,17.44,-17.44,home_win,1,0
896562,4185,2012/2013,4,1406,Sedan,488,Nîmes,1469.40,1468.74,1453.37,1484.77,-16.03,16.03,away_win,2,3
896565,4185,2012/2013,4,492,Tours,440,Nantes,1470.87,1515.33,1456.90,1529.29,-13.96,13.96,away_win,0,2
896568,4185,2012/2013,4,436,Guingamp,56,Monaco,1502.16,1531.30,1487.50,1545.96,-14.66,14.66,away_win,1,2
896571,4185,2012/2013,4,3906,Le Mans,479,Auxerre,1469.40,1514.60,1487.47,1496.53,18.07,-18.07,home_win,3,1
896574,4185,2012/2013,5,444,Angers SCO,1412,Istres,1497.13,1500.64,1481.30,1516.48,-15.84,15.84,away_win,0,1
896577,4185,2012/2013,5,479,Auxerre,487,Laval,1496.53,1502.11,1512.78,1485.85,16.26,-16.26,home_win,2,1
896580,4185,2012/2013,5,497,Châteauroux,492,Tours,1513.92,1456.90,1527.32,1443.51,13.40,-13.40,home_win,3,0
896583,4185,2012/2013,5,489,Gazélec Ajaccio,449,Lens,1468.67,1517.31,1470.89,1515.08,2.23,-2.23,draw,1,1
896586,4185,2012/2013,5,56,Monaco,496,Arles-Avignon,1545.96,1529.79,1561.22,1514.54,15.26,-15.26,home_win,3,0
896590,4185,2012/2013,5,482,Niort,436,Guingamp,1498.63,1487.50,1498.11,1488.01,-0.51,0.51,draw,0,0
896593,4185,2012/2013,5,490,Clermont,1406,Sedan,1484.70,1453.37,1467.26,1470.81,-17.44,17.44,away_win,0,2
896596,4185,2012/2013,5,488,Nîmes,432,Caen,1484.77,1515.97,1470.20,1530.54,-14.57,14.57,away_win,0,2
896599,4185,2012/2013,5,446,Dijon,493,Le Havre,1543.79,1485.54,1541.14,1488.19,-2.66,2.66,draw,2,2
896602,4185,2012/2013,5,440,Nantes,3906,Le Mans,1529.29,1487.47,1543.38,1473.39,14.08,-14.08,home_win,2,0
896605,4185,2012/2013,6,446,Dijon,489,Gazélec Ajaccio,1541.14,1470.89,1553.94,1458.09,12.81,-12.81,home_win,2,1
896608,4185,2012/2013,6,493,Le Havre,56,Monaco,1488.19,1561.22,1507.51,1541.90,19.31,-19.31,home_win,2,1
