match_id,competition_id,season,game_week,homeID,home_name,awayID,away_name,RA,RB,RA_new,RB_new,RA_change,RB_change,result,homeGoalCount,awayGoalCount
904969,4234,2011/2012,1,374,Excelsior,367,Feyenoord,1500.00,1500.00,1484.00,1516.00,-16.00,16.00,away_win,0,2
904971,4234,2011/2012,1,368,Roda JC,372,Groningen,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,2,1
904973,4234,2011/2012,1,373,Heerenveen,379,NEC,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,2,2
904975,4234,2011/2012,1,386,RKC Waalwijk,370,Heracles,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,2,2
904977,4234,2011/2012,1,401,VVV,376,Utrecht,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,0,0
904979,4234,2011/2012,1,378,AZ,121,PSV,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,3,1
904980,4234,2011/2012,1,383,De Graafschap,120,Ajax,1500.00,1500.00,1484.00,1516.00,-16.00,16.00,away_win,1,4
904982,4234,2011/2012,1,377,ADO Den Haag,369,Vitesse,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,0,0
904984,4234,2011/2012,1,385,NAC Breda,375,Twente,1500.00,1500.00,1484.00,1516.00,-16.00,16.00,away_win,0,1
904986,4234,2011/2012,2,375,Twente,378,AZ,1516.00,1516.00,1532.00,1500.00,16.00,-16.00,home_win,2,0
904988,4234,2011/2012,2,369,Vitesse,401,VVV,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,4,0
904990,4234,2011/2012,2,121,PSV,386,RKC Waalwijk,1484.00,1500.00,1500.74,1483.26,16.74,-16.74,home_win,1,0
904992,4234,2011/2012,2,367,Feyenoord,368,Roda JC,1516.00,1516.00,1532.00,1500.00,16.00,-16.00,home_win,3,0
904994,4234,2011/2012,2,370,Heracles,385,NAC Breda,1500.00,1484.00,1515.26,1468.74,15.26,-15.26,home_win,2,1
904996,4234,2011/2012,2,376,Utrecht,383,De Graafschap,1500.00,1484.00,1499.26,1484.74,-0.74,0.74,draw,2,2
904999,4234,2011/2012,2,120,Ajax,373,Heerenveen,1516.00,1500.00,1531.26,1484.74,15.26,-15.26,home_win,5,1
