match_id,competition_id,season,game_week,homeID,home_name,awayID,away_name,RA,RB,RA_new,RB_new,RA_change,RB_change,result,homeGoalCount,awayGoalCount
66114,223,2012/2013,1,23,Celtic,25,Aberdeen,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,1,0
66115,223,2012/2013,1,32,Hearts,29,St. Johnstone,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,2,0
66116,223,2012/2013,1,31,Ross County,30,Motherwell,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,0,0
66117,223,2012/2013,1,1019,St. Mirren,27,Inverness CT,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,2,2
66118,223,2012/2013,1,21,Kilmarnock,28,Dundee,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,0,0
66119,223,2012/2013,1,1018,Dundee United,1017,Hibernian,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,3,0
66120,223,2012/2013,2,25,Aberdeen,31,Ross County,1484.00,1500.00,1484.74,1499.26,0.74,-0.74,draw,0,0
66121,223,2012/2013,2,27,Inverness CT,21,Kilmarnock,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,1,1
66122,223,2012/2013,2,30,Motherwell,29,St. Johnstone,1500.00,1484.00,1499.26,1484.74,-0.74,0.74,draw,1,1
66123,223,2012/2013,2,28,Dundee,1019,St. Mirren,1500.00,1500.00,1484.00,1516.00,-16.00,16.00,away_win,0,2
66124,223,2012/2013,2,1017,Hibernian,32,Hearts,1484.00,1516.00,1485.47,1514.53,1.47,-1.47,draw,1,1
66125,223,2012/2013,3,31,Ross County,23,Celtic,1499.26,1516.00,1500.03,1515.23,0.77,-0.77,draw,1,1
66126,223,2012/2013,3,32,Hearts,27,Inverness CT,1514.53,1500.00,1513.86,1500.67,-0.67,0.67,draw,2,2
66127,223,2012/2013,3,21,Kilmarnock,30,Motherwell,1500.00,1499.26,1483.97,1515.30,-16.03,16.03,away_win,1,2
66128,223,2012/2013,3,29,St. Johnstone,25,Aberdeen,1484.74,1484.74,1468.74,1500.74,-16.00,16.00,away_win,1,2
66129,223,2012/2013,3,1019,St. Mirren,1017,Hibernian,1516.00,1485.47,1498.60,1502.87,-17.40,17.40,away_win,1,2
66130,223,2012/2013,3,1018,Dundee United,28,Dundee,1516.00,1484.00,1530.53,1469.47,14.53,-14.53,home_win,3,0
66131,223,2012/2013,4,27,Inverness CT,23,Celtic,1500.67,1515.23,1485.34,1530.56,-15.33,15.33,away_win,2,4
66132,223,2012/2013,4,1017,Hibernian,29,St. Johnstone,1502.87,1468.74,1517.30,1454.30,14.43,-14.43,home_win,2,0
66133,223,2012/2013,4,21,Kilmarnock,1018,Dundee United,1483.97,1530.53,1502.10,1512.40,18.13,-18.13,home_win,3,1
66134,223,2012/2013,4,28,Dundee,31,Ross County,1469.47,1500.03,1454.87,1514.63,-14.60,14.60,away_win,0,1
66135,223,2012/2013,4,30,Motherwell,1019,St. Mirren,1515.30,1498.60,1514.53,1499.37,-0.77,0.77,draw,1,1
66136,223,2012/2013,4,25,Aberdeen,32,Hearts,1500.74,1513.86,1501.34,1513.26,0.60,-0.60,draw,0,0
66137,223,2012/2013,5,25,Aberdeen,1019,St. Mirren,1501.34,1499.37,1501.25,1499.46,-0.09,0.09,draw,0,0
66138,223,2012/2013,5,23,Celtic,1017,Hibernian,1530.56,1517.30,1529.95,1517.92,-0.61,0.61,draw,2,2
66139,223,2012/2013,5,31,Ross County,21,Kilmarnock,1514.63,1502.10,1514.05,1502.67,-0.58,0.58,draw,0,0
66140,223,2012/2013,5,29,St. Johnstone,1018,Dundee United,1454.30,1512.40,1456.95,1509.75,2.65,-2.65,draw,0,0
66141,223,2012/2013,5,30,Motherwell,27,Inverness CT,1514.53,1485.34,1529.19,1470.68,14.66,-14.66,home_win,4,1
66142,223,2012/2013,5,32,Hearts,28,Dundee,1513.26,1454.87,1494.59,1473.54,-18.66,18.66,away_win,0,1
66143,223,2012/2013,6,1018,Dundee United,31,Ross County,1509.75,1514.05,1509.95,1513.85,0.20,-0.20,draw,0,0
66144,223,2012/2013,6,29,St. Johnstone,23,Celtic,1456.95,1529.95,1476.27,1510.64,19.31,-19.31,home_win,2,1
66145,223,2012/2013,6,1017,Hibernian,21,Kilmarnock,1517.92,1502.67,1533.21,1487.38,15.30,-15.30,home_win,2,1
66146,223,2012/2013,6,27,Inverness CT,25,Aberdeen,1470.68,1501.25,1472.08,1499.85,1.40,-1.40,draw,1,1
66147,223,2012/2013,6,1019,St. Mirren,32,Hearts,1499.46,1494.59,1515.23,1478.82,15.78,-15.78,home_win,2,0
66148,223,2012/2013,6,28,Dundee,30,Motherwell,1473.54,1529.19,1460.08,1542.65,-13.46,13.46,away_win,1,2
66149,223,2012/2013,7,1018,Dundee United,32,Hearts,1509.95,1478.82,1492.52,1496.25,-17.43,17.43,away_win,0,3
66150,223,2012/2013,7,1017,Hibernian,27,Inverness CT,1533.21,1472.08,1530.43,1474.87,-2.79,2.79,draw,2,2
66151,223,2012/2013,7,21,Kilmarnock,1019,St. Mirren,1487.38,1515.23,1504.66,1497.95,17.28,-17.28,home_win,3,1
66152,223,2012/2013,7,31,Ross County,29,St. Johnstone,1513.85,1476.27,1496.13,1493.99,-17.72,17.72,away_win,1,2
66153,223,2012/2013,7,23,Celtic,28,Dundee,1510.64,1460.08,1524.32,1446.39,13.69,-13.69,home_win,2,0
66154,223,2012/2013,7,25,Aberdeen,30,Motherwell,1499.85,1542.65,1501.81,1540.69,1.96,-1.96,draw,3,3
66155,223,2012/2013,8,25,Aberdeen,1017,Hibernian,1501.81,1530.43,1519.12,1513.11,17.32,-17.32,home_win,2,1
66156,223,2012/2013,8,32,Hearts,21,Kilmarnock,1496.25,1504.66,1480.63,1520.27,-15.61,15.61,away_win,1,3
66157,223,2012/2013,8,27,Inverness CT,1018,Dundee United,1474.87,1492.52,1491.68,1475.70,16.81,-16.81,home_win,4,0
66158,223,2012/2013,8,30,Motherwell,23,Celtic,1540.69,1524.32,1523.93,1541.08,-16.75,16.75,away_win,0,2
66159,223,2012/2013,8,1019,St. Mirren,31,Ross County,1497.95,1496.13,1513.87,1480.21,15.92,-15.92,home_win,5,4
66160,223,2012/2013,8,28,Dundee,29,St. Johnstone,1446.39,1493.99,1432.57,1507.81,-13.82,13.82,away_win,1,3
66161,223,2012/2013,9,27,Inverness CT,31,Ross County,1491.68,1480.21,1507.15,1464.74,15.47,-15.47,home_win,3,1
66162,223,2012/2013,9,21,Kilmarnock,25,Aberdeen,1520.27,1519.12,1504.22,1535.17,-16.05,16.05,away_win,1,3
66163,223,2012/2013,9,29,St. Johnstone,1019,St. Mirren,1507.81,1513.87,1524.09,1497.59,16.28,-16.28,home_win,2,1
66164,223,2012/2013,9,1017,Hibernian,28,Dundee,1513.11,1432.57,1525.47,1420.21,12.36,-12.36,home_win,3,0
66165,223,2012/2013,9,23,Celtic,32,Hearts,1541.08,1480.63,1554.32,1467.39,13.24,-13.24,home_win,1,0
66166,223,2012/2013,10,28,Dundee,27,Inverness CT,1420.21,1507.15,1408.14,1519.23,-12.08,12.08,away_win,1,4
66167,223,2012/2013,10,1019,St. Mirren,23,Celtic,1497.59,1554.32,1484.18,1567.73,-13.41,13.41,away_win,0,5
66168,223,2012/2013,10,31,Ross County,1017,Hibernian,1464.74,1525.47,1483.51,1506.70,18.77,-18.77,home_win,3,2
66169,223,2012/2013,10,29,St. Johnstone,21,Kilmarnock,1524.09,1504.22,1539.18,1489.13,15.09,-15.09,home_win,2,1
66170,223,2012/2013,10,1018,Dundee United,25,Aberdeen,1475.70,1535.17,1478.42,1532.46,2.71,-2.71,draw,1,1
66171,223,2012/2013,10,32,Hearts,30,Motherwell,1467.39,1523.93,1485.97,1505.35,18.58,-18.58,home_win,1,0
66172,223,2012/2013,11,30,Motherwell,1017,Hibernian,1505.35,1506.70,1489.41,1522.64,-15.94,15.94,away_win,0,4
66173,223,2012/2013,11,23,Celtic,21,Kilmarnock,1567.73,1489.13,1548.17,1508.69,-19.56,19.56,away_win,0,2
66174,223,2012/2013,11,32,Hearts,31,Ross County,1485.97,1483.51,1485.86,1483.62,-0.11,0.11,draw,2,2
66175,223,2012/2013,11,27,Inverness CT,29,St. Johnstone,1519.23,1539.18,1520.15,1538.26,0.92,-0.92,draw,1,1
66176,223,2012/2013,11,1019,St. Mirren,1018,Dundee United,1484.18,1478.42,1467.91,1494.68,-16.27,16.27,away_win,0,1
66177,223,2012/2013,11,25,Aberdeen,28,Dundee,1532.46,1408.14,1542.97,1397.63,10.51,-10.51,home_win,2,0
66178,223,2012/2013,12,1017,Hibernian,1019,St. Mirren,1522.64,1467.91,1536.14,1454.41,13.50,-13.50,home_win,2,1
66179,223,2012/2013,12,21,Kilmarnock,27,Inverness CT,1508.69,1520.15,1493.22,1535.62,-15.47,15.47,away_win,1,2
66180,223,2012/2013,12,31,Ross County,25,Aberdeen,1483.62,1542.97,1502.33,1524.26,18.71,-18.71,home_win,2,1
66181,223,2012/2013,12,29,St. Johnstone,30,Motherwell,1538.26,1489.41,1520.03,1507.65,-18.23,18.23,away_win,1,3
66182,223,2012/2013,12,28,Dundee,32,Hearts,1397.63,1485.86,1417.61,1465.88,19.98,-19.98,home_win,1,0
66183,223,2012/2013,12,1018,Dundee United,23,Celtic,1494.68,1548.17,1497.13,1545.73,2.44,-2.44,draw,2,2
66184,223,2012/2013,9,30,Motherwell,1018,Dundee United,1507.65,1497.13,1491.16,1513.61,-16.48,16.48,away_win,0,1
66185,223,2012/2013,13,27,Inverness CT,32,Hearts,1535.62,1465.88,1532.45,1469.05,-3.17,3.17,draw,1,1
66186,223,2012/2013,13,21,Kilmarnock,31,Ross County,1493.22,1502.33,1509.64,1485.91,16.42,-16.42,home_win,3,0
66187,223,2012/2013,13,1019,St. Mirren,25,Aberdeen,1454.41,1524.26,1441.59,1537.09,-12.83,12.83,away_win,1,4
66188,223,2012/2013,13,30,Motherwell,28,Dundee,1491.16,1417.61,1487.83,1420.94,-3.34,3.34,draw,1,1
66189,223,2012/2013,13,1017,Hibernian,1018,Dundee United,1536.14,1513.61,1551.10,1498.65,14.96,-14.96,home_win,2,1
66190,223,2012/2013,13,23,Celtic,29,St. Johnstone,1545.73,1520.03,1544.55,1521.21,-1.18,1.18,draw,1,1
66191,223,2012/2013,14,1018,Dundee United,21,Kilmarnock,1498.65,1509.64,1499.15,1509.13,0.51,-0.51,draw,3,3
66192,223,2012/2013,14,25,Aberdeen,23,Celtic,1537.09,1544.55,1521.43,1560.20,-15.66,15.66,away_win,0,2
66193,223,2012/2013,14,32,Hearts,1019,St. Mirren,1469.05,1441.59,1483.79,1426.85,14.74,-14.74,home_win,1,0
66194,223,2012/2013,14,29,St. Johnstone,31,Ross County,1521.21,1485.91,1519.59,1487.53,-1.62,1.62,draw,1,1
66195,223,2012/2013,14,28,Dundee,1017,Hibernian,1420.94,1551.10,1442.67,1529.37,21.73,-21.73,home_win,3,1
66196,223,2012/2013,14,27,Inverness CT,30,Motherwell,1532.45,1487.83,1514.41,1505.87,-18.04,18.04,away_win,1,5
66197,223,2012/2013,15,30,Motherwell,32,Hearts,1505.87,1483.79,1504.85,1484.80,-1.02,1.02,draw,0,0
66198,223,2012/2013,15,23,Celtic,27,Inverness CT,1560.20,1514.41,1542.11,1532.51,-18.10,18.10,away_win,0,1
66199,223,2012/2013,15,1017,Hibernian,25,Aberdeen,1529.37,1521.43,1513.01,1537.80,-16.37,16.37,away_win,0,1
66200,223,2012/2013,15,21,Kilmarnock,29,St. Johnstone,1509.13,1519.59,1493.61,1535.11,-15.52,15.52,away_win,1,2
66201,223,2012/2013,15,31,Ross County,1018,Dundee United,1487.53,1499.15,1472.07,1514.62,-15.47,15.47,away_win,1,2
66202,223,2012/2013,15,1019,St. Mirren,28,Dundee,1426.85,1442.67,1443.58,1425.94,16.73,-16.73,home_win,3,1
66203,223,2012/2013,16,25,Aberdeen,27,Inverness CT,1537.80,1532.51,1521.55,1548.75,-16.24,16.24,away_win,2,3
66204,223,2012/2013,16,1018,Dundee United,30,Motherwell,1514.62,1504.85,1498.17,1521.30,-16.45,16.45,away_win,1,2
66205,223,2012/2013,16,31,Ross County,1019,St. Mirren,1472.07,1443.58,1470.76,1444.89,-1.31,1.31,draw,0,0
66206,223,2012/2013,16,32,Hearts,23,Celtic,1484.80,1542.11,1471.42,1555.49,-13.38,13.38,away_win,0,4
66207,223,2012/2013,16,29,St. Johnstone,1017,Hibernian,1535.11,1513.01,1518.09,1530.02,-17.02,17.02,away_win,0,1
66208,223,2012/2013,17,21,Kilmarnock,23,Celtic,1493.61,1555.49,1480.43,1568.67,-13.18,13.18,away_win,1,3
66209,223,2012/2013,17,32,Hearts,25,Aberdeen,1471.42,1521.55,1489.71,1503.26,18.29,-18.29,home_win,2,0
66210,223,2012/2013,17,27,Inverness CT,1017,Hibernian,1548.75,1530.02,1563.89,1514.89,15.14,-15.14,home_win,3,0
66211,223,2012/2013,17,30,Motherwell,31,Ross County,1521.30,1470.76,1534.99,1457.07,13.69,-13.69,home_win,3,2
66212,223,2012/2013,17,1019,St. Mirren,29,St. Johnstone,1444.89,1518.09,1448.21,1514.77,3.32,-3.32,draw,1,1
66213,223,2012/2013,17,28,Dundee,1018,Dundee United,1425.94,1498.17,1413.22,1510.89,-12.72,12.72,away_win,0,3
66214,223,2012/2013,18,25,Aberdeen,21,Kilmarnock,1503.26,1480.43,1486.21,1497.48,-17.05,17.05,away_win,0,2
66215,223,2012/2013,18,23,Celtic,1019,St. Mirren,1568.67,1448.21,1579.34,1437.54,10.66,-10.66,home_win,2,0
66216,223,2012/2013,18,1018,Dundee United,27,Inverness CT,1510.89,1563.89,1513.31,1561.47,2.42,-2.42,draw,4,4
66217,223,2012/2013,18,1017,Hibernian,30,Motherwell,1514.89,1534.99,1499.81,1550.07,-15.08,15.08,away_win,2,3
66218,223,2012/2013,18,29,St. Johnstone,32,Hearts,1514.77,1489.71,1513.62,1490.86,-1.15,1.15,draw,2,2
66219,223,2012/2013,18,31,Ross County,28,Dundee,1457.07,1413.22,1455.06,1415.23,-2.01,2.01,draw,1,1
66220,223,2012/2013,19,1019,St. Mirren,30,Motherwell,1437.54,1550.07,1458.55,1529.06,21.01,-21.01,home_win,2,1
66221,223,2012/2013,19,25,Aberdeen,29,St. Johnstone,1486.21,1513.62,1503.47,1496.36,17.26,-17.26,home_win,2,0
66222,223,2012/2013,19,23,Celtic,31,Ross County,1579.34,1455.06,1589.85,1444.55,10.51,-10.51,home_win,4,0
66223,223,2012/2013,19,27,Inverness CT,28,Dundee,1561.47,1415.23,1571.10,1405.59,9.64,-9.64,home_win,4,1
66224,223,2012/2013,19,21,Kilmarnock,1017,Hibernian,1497.48,1499.81,1497.59,1499.70,0.11,-0.11,draw,1,1
66225,223,2012/2013,19,32,Hearts,1018,Dundee United,1490.86,1513.31,1507.90,1496.28,17.03,-17.03,home_win,2,1
66226,223,2012/2013,20,1018,Dundee United,29,St. Johnstone,1496.28,1496.36,1496.28,1496.35,0.00,-0.00,draw,1,1
66227,223,2012/2013,20,1017,Hibernian,31,Ross County,1499.70,1444.55,1481.18,1463.07,-18.52,18.52,away_win,0,1
66228,223,2012/2013,20,27,Inverness CT,1019,St. Mirren,1571.10,1458.55,1566.09,1463.56,-5.01,5.01,draw,2,2
66229,223,2012/2013,20,21,Kilmarnock,32,Hearts,1497.59,1507.90,1514.06,1491.42,16.47,-16.47,home_win,1,0
66230,223,2012/2013,20,30,Motherwell,25,Aberdeen,1529.06,1503.47,1543.88,1488.65,14.82,-14.82,home_win,4,1
66231,223,2012/2013,20,28,Dundee,23,Celtic,1405.59,1589.85,1397.36,1598.08,-8.23,8.23,away_win,0,2
