match_id,competition_id,season,game_week,homeID,home_name,awayID,away_name,RA,RB,RA_new,RB_new,RA_change,RB_change,result,homeGoalCount,awayGoalCount
894217,4167,2011/2012,2,312,Girona FC,295,Elche CF,1500.00,1500.00,1484.00,1516.00,-16.00,16.00,away_win,1,4
894219,4167,2011/2012,2,320,Barcelona II,4492,Villarreal II,1500.00,1500.00,1484.00,1516.00,-16.00,16.00,away_win,0,2
894221,4167,2011/2012,2,286,Deportivo La Coruña,318,Recreativo de Huelva,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,1,0
894224,4167,2011/2012,2,324,Hércules CF,4507,FC Cartagena,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,2,0
894226,4167,2011/2012,2,317,CE Sabadell FC,301,SD Huesca,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,2,1
894228,4167,2011/2012,2,302,AD Alcorcón,326,Xerez CD,1500.00,1500.00,1484.00,1516.00,-16.00,16.00,away_win,0,1
894230,4167,2011/2012,2,325,Guadalajara,276,UD Las Palmas,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,1,1
894233,4167,2011/2012,2,4502,CD Alcoyano,306,CD Numancia,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,1,1
894234,4167,2011/2012,2,294,Córdoba,296,Almería,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,1,1
894237,4167,2011/2012,2,321,Real Murcia,281,Celta de Vigo,1500.00,1500.00,1484.00,1516.00,-16.00,16.00,away_win,1,3
894239,4167,2011/2012,2,303,Gimnàstic de Tarragona,297,Real Valladolid,1500.00,1500.00,1484.00,1516.00,-16.00,16.00,away_win,0,3
894241,4167,2011/2012,3,4492,Villarreal II,317,CE Sabadell FC,1516.00,1516.00,1500.00,1532.00,-16.00,16.00,away_win,3,4
894243,4167,2011/2012,3,301,SD Huesca,302,AD Alcorcón,1484.00,1484.00,1468.00,1500.00,-16.00,16.00,away_win,0,3
894245,4167,2011/2012,3,326,Xerez CD,325,Guadalajara,1516.00,1500.00,1499.26,1516.74,-16.74,16.74,away_win,0,2
894247,4167,2011/2012,3,296,Almería,312,Girona FC,1500.00,1484.00,1499.26,1484.74,-0.74,0.74,draw,2,2
894249,4167,2011/2012,3,295,Elche CF,321,Real Murcia,1516.00,1484.00,1530.53,1469.47,14.53,-14.53,home_win,1,0
894251,4167,2011/2012,3,276,UD Las Palmas,4502,CD Alcoyano,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,1,0
894253,4167,2011/2012,3,297,Real Valladolid,294,Córdoba,1516.00,1500.00,1531.26,1484.74,15.26,-15.26,home_win,2,0
894255,4167,2011/2012,3,306,CD Numancia,303,Gimnàstic de Tarragona,1500.00,1484.00,1499.26,1484.74,-0.74,0.74,draw,0,0
894257,4167,2011/2012,3,4507,FC Cartagena,320,Barcelona II,1484.00,1484.00,1468.00,1500.00,-16.00,16.00,away_win,0,4
894259,4167,2011/2012,3,286,Deportivo La Coruña,324,Hércules CF,1516.00,1516.00,1500.00,1532.00,-16.00,16.00,away_win,0,1
894262,4167,2011/2012,3,318,Recreativo de Huelva,281,Celta de Vigo,1484.00,1516.00,1469.47,1530.53,-14.53,14.53,away_win,1,2
894264,4167,2011/2012,4,324,Hércules CF,318,Recreativo de Huelva,1532.00,1469.47,1513.15,1488.32,-18.85,18.85,away_win,0,1
894266,4167,2011/2012,4,317,CE Sabadell FC,4507,FC Cartagena,1532.00,1468.00,1545.09,1454.91,13.09,-13.09,home_win,3,2
894268,4167,2011/2012,4,302,AD Alcorcón,4492,Villarreal II,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,1,1
894270,4167,2011/2012,4,325,Guadalajara,301,SD Huesca,1516.74,1468.00,1530.51,1454.23,13.77,-13.77,home_win,2,1
894272,4167,2011/2012,4,4502,CD Alcoyano,326,Xerez CD,1484.00,1499.26,1468.70,1514.56,-15.30,15.30,away_win,0,1
894273,4167,2011/2012,4,294,Córdoba,306,CD Numancia,1484.74,1499.26,1501.40,1482.60,16.67,-16.67,home_win,1,0
894275,4167,2011/2012,4,321,Real Murcia,296,Almería,1469.47,1499.26,1454.84,1513.89,-14.63,14.63,away_win,0,2
894277,4167,2011/2012,4,281,Celta de Vigo,295,Elche CF,1530.53,1530.53,1514.53,1546.53,-16.00,16.00,away_win,1,2
894279,4167,2011/2012,4,320,Barcelona II,286,Deportivo La Coruña,1500.00,1500.00,1484.00,1516.00,-16.00,16.00,away_win,2,3
894281,4167,2011/2012,4,303,Gimnàstic de Tarragona,276,UD Las Palmas,1484.74,1516.00,1470.17,1530.56,-14.56,14.56,away_win,1,3
894283,4167,2011/2012,4,312,Girona FC,297,Real Valladolid,1484.74,1531.26,1486.87,1529.13,2.13,-2.13,draw,1,1
894285,4167,2011/2012,5,324,Hércules CF,320,Barcelona II,1513.15,1484.00,1527.81,1469.34,14.66,-14.66,home_win,2,1
894287,4167,2011/2012,5,297,Real Valladolid,321,Real Murcia,1529.13,1454.84,1509.76,1474.21,-19.37,19.37,away_win,1,3
894289,4167,2011/2012,5,286,Deportivo La Coruña,317,CE Sabadell FC,1516.00,1545.09,1533.34,1527.75,17.34,-17.34,home_win,2,1
894291,4167,2011/2012,5,4507,FC Cartagena,302,AD Alcorcón,1454.91,1500.00,1440.98,1513.94,-13.94,13.94,away_win,0,2
894292,4167,2011/2012,5,301,SD Huesca,4502,CD Alcoyano,1454.23,1468.70,1454.90,1468.04,0.67,-0.67,draw,3,3
894294,4167,2011/2012,5,326,Xerez CD,303,Gimnàstic de Tarragona,1514.56,1470.17,1512.53,1472.21,-2.03,2.03,draw,0,0
894296,4167,2011/2012,5,306,CD Numancia,312,Girona FC,1482.60,1486.87,1498.79,1470.67,16.20,-16.20,home_win,1,0
894298,4167,2011/2012,5,318,Recreativo de Huelva,295,Elche CF,1488.32,1546.53,1506.97,1527.87,18.66,-18.66,home_win,1,0
894300,4167,2011/2012,5,276,UD Las Palmas,294,Córdoba,1530.56,1501.40,1513.22,1518.74,-17.34,17.34,away_win,0,1
894302,4167,2011/2012,5,296,Almería,281,Celta de Vigo,1513.89,1514.53,1529.92,1498.50,16.03,-16.03,home_win,1,0
894304,4167,2011/2012,5,4492,Villarreal II,325,Guadalajara,1500.00,1530.51,1501.40,1529.11,1.40,-1.40,draw,3,3
894306,4167,2011/2012,6,295,Elche CF,296,Almería,1527.87,1529.92,1511.97,1545.83,-15.91,15.91,away_win,1,3
894308,4167,2011/2012,6,317,CE Sabadell FC,324,Hércules CF,1527.75,1527.81,1527.75,1527.81,0.00,-0.00,draw,1,1
894309,4167,2011/2012,6,320,Barcelona II,318,Recreativo de Huelva,1469.34,1506.97,1471.07,1505.25,1.73,-1.73,draw,2,2
894311,4167,2011/2012,6,302,AD Alcorcón,286,Deportivo La Coruña,1513.94,1533.34,1530.83,1516.44,16.89,-16.89,home_win,4,0
894313,4167,2011/2012,6,325,Guadalajara,4507,FC Cartagena,1529.11,1440.98,1541.13,1428.95,12.03,-12.03,home_win,2,0
