match_id,competition_id,season,game_week,homeID,home_name,awayID,away_name,RA,RB,RA_new,RB_new,RA_change,RB_change,result,homeGoalCount,awayGoalCount
864598,3940,2011/2012,2,461,AC Milan,463,Lazio,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,2,2
864602,3940,2011/2012,2,475,Cesena,74,Napoli,1500.00,1500.00,1484.00,1516.00,-16.00,16.00,away_win,1,3
864606,3940,2011/2012,2,90,Juventus,476,Parma,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,4,1
864611,3940,2011/2012,2,477,Catania,521,Robur Siena,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,0,0
864614,3940,2011/2012,2,468,Chievo,506,Novara,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,2,2
864617,3940,2011/2012,2,471,Fiorentina,467,Bologna,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,2,0
864621,3940,2011/2012,2,460,Genoa,464,Atalanta,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,2,2
864626,3940,2011/2012,2,2330,Lecce,466,Udinese,1500.00,1500.00,1484.00,1516.00,-16.00,16.00,away_win,0,2
864630,3940,2011/2012,2,113,Roma,455,Cagliari,1500.00,1500.00,1484.00,1516.00,-16.00,16.00,away_win,1,2
864634,3940,2011/2012,2,462,Palermo,470,Inter Milan,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,4,3
864638,3940,2011/2012,3,455,Cagliari,506,Novara,1516.00,1500.00,1531.26,1484.74,15.26,-15.26,home_win,2,1
864640,3940,2011/2012,3,470,Inter Milan,113,Roma,1484.00,1484.00,1484.00,1484.00,0.00,0.00,draw,0,0
864642,3940,2011/2012,3,464,Atalanta,462,Palermo,1500.00,1516.00,1516.74,1499.26,16.74,-16.74,home_win,1,0
864645,3940,2011/2012,3,467,Bologna,2330,Lecce,1484.00,1484.00,1468.00,1500.00,-16.00,16.00,away_win,0,2
864649,3940,2011/2012,3,477,Catania,475,Cesena,1500.00,1484.00,1515.26,1468.74,15.26,-15.26,home_win,1,0
864653,3940,2011/2012,3,463,Lazio,460,Genoa,1500.00,1500.00,1484.00,1516.00,-16.00,16.00,away_win,1,2
864657,3940,2011/2012,3,476,Parma,468,Chievo,1484.00,1500.00,1500.74,1483.26,16.74,-16.74,home_win,2,1
864661,3940,2011/2012,3,521,Robur Siena,90,Juventus,1500.00,1516.00,1484.74,1531.26,-15.26,15.26,away_win,0,1
864665,3940,2011/2012,3,466,Udinese,471,Fiorentina,1516.00,1516.00,1532.00,1500.00,16.00,-16.00,home_win,2,0
864669,3940,2011/2012,3,74,Napoli,461,AC Milan,1516.00,1500.00,1531.26,1484.74,15.26,-15.26,home_win,3,1
