match_id,competition_id,season,game_week,homeID,home_name,awayID,away_name,RA,RB,RA_new,RB_new,RA_change,RB_change,result,homeGoalCount,awayGoalCount
865480,3949,2011/2012,1,465,Sampdoria,2314,Calcio Padova,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,2,2
865487,3949,2011/2012,1,473,Hellas Verona,458,Pescara,1500.00,1500.00,1484.00,1516.00,-16.00,16.00,away_win,1,2
865494,3949,2011/2012,1,509,Ascoli,456,Torino,1500.00,1500.00,1484.00,1516.00,-16.00,16.00,away_win,1,2
865501,3949,2011/2012,1,500,Bari 1908,519,Varese,1500.00,1500.00,1500.00,1500.00,0.00,0.00,draw,0,0
865511,3949,2011/2012,1,508,Cittadella,2333,AlbinoLeffe,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,2,1
865517,3949,2011/2012,1,457,Crotone,478,Livorno,1500.00,1500.00,1484.00,1516.00,-16.00,16.00,away_win,1,2
865524,3949,2011/2012,1,459,Empoli,520,Juve Stabia,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,2,1
865531,3949,2011/2012,1,524,Grosseto,2320,Gubbio,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,2,0
865539,3949,2011/2012,1,522,Reggina,517,Modena,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,4,1
865546,3949,2011/2012,1,469,Sassuolo,2387,Nocerina,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,3,1
865553,3949,2011/2012,1,505,Brescia,498,Vicenza,1500.00,1500.00,1516.00,1484.00,16.00,-16.00,home_win,2,0
865561,3949,2011/2012,2,2333,AlbinoLeffe,524,Grosseto,1484.00,1516.00,1485.47,1514.53,1.47,-1.47,draw,2,2
865567,3949,2011/2012,2,2320,Gubbio,509,Ascoli,1484.00,1484.00,1468.00,1500.00,-16.00,16.00,away_win,2,3
865573,3949,2011/2012,2,478,Livorno,465,Sampdoria,1516.00,1500.00,1515.26,1500.74,-0.74,0.74,draw,0,0
865581,3949,2011/2012,2,517,Modena,500,Bari 1908,1484.00,1500.00,1468.74,1515.26,-15.26,15.26,away_win,0,1
865587,3949,2011/2012,2,2387,Nocerina,505,Brescia,1484.00,1516.00,1485.47,1514.53,1.47,-1.47,draw,1,1
865594,3949,2011/2012,2,2314,Calcio Padova,522,Reggina,1500.00,1516.00,1516.74,1499.26,16.74,-16.74,home_win,1,0
865601,3949,2011/2012,2,458,Pescara,459,Empoli,1516.00,1516.00,1532.00,1500.00,16.00,-16.00,home_win,3,2
865608,3949,2011/2012,2,519,Varese,457,Crotone,1500.00,1484.00,1499.26,1484.74,-0.74,0.74,draw,0,0
865615,3949,2011/2012,2,498,Vicenza,469,Sassuolo,1484.00,1516.00,1469.47,1530.53,-14.53,14.53,away_win,0,1
865623,3949,2011/2012,2,520,Juve Stabia,473,Hellas Verona,1484.00,1484.00,1468.00,1500.00,-16.00,16.00,away_win,1,2
865630,3949,2011/2012,2,456,Torino,508,Cittadella,1516.00,1516.00,1516.00,1516.00,0.00,0.00,draw,1,1
865637,3949,2011/2012,3,522,Reggina,524,Grosseto,1499.26,1514.53,1499.97,1513.83,0.70,-0.70,draw,1,1
865643,3949,2011/2012,3,505,Brescia,459,Empoli,1514.53,1500.00,1529.86,1484.67,15.33,-15.33,home_win,2,1
865651,3949,2011/2012,3,509,Ascoli,498,Vicenza,1500.00,1469.47,1498.60,1470.87,-1.40,1.40,draw,1,1
865656,3949,2011/2012,3,500,Bari 1908,2333,AlbinoLeffe,1515.26,1485.47,1497.89,1502.84,-17.37,17.37,away_win,2,3
865664,3949,2011/2012,3,508,Cittadella,2314,Calcio Padova,1516.00,1516.74,1500.03,1532.70,-15.97,15.97,away_win,1,4
865671,3949,2011/2012,3,457,Crotone,520,Juve Stabia,1484.74,1468.00,1483.97,1468.77,-0.77,0.77,draw,0,0
865678,3949,2011/2012,3,478,Livorno,2387,Nocerina,1515.26,1485.47,1497.89,1502.84,-17.37,17.37,away_win,0,2
865685,3949,2011/2012,3,517,Modena,458,Pescara,1468.74,1532.00,1487.62,1513.12,18.88,-18.88,home_win,3,2
865694,3949,2011/2012,3,465,Sampdoria,2320,Gubbio,1500.74,1468.00,1515.23,1453.50,14.50,-14.50,home_win,6,0
865701,3949,2011/2012,3,473,Hellas Verona,469,Sassuolo,1500.00,1530.53,1517.40,1513.13,17.40,-17.40,home_win,1,0
865709,3949,2011/2012,3,456,Torino,519,Varese,1516.00,1499.26,1531.23,1484.03,15.23,-15.23,home_win,2,0
865716,3949,2011/2012,4,2314,Calcio Padova,500,Bari 1908,1532.70,1497.89,1547.10,1483.49,14.40,-14.40,home_win,1,0
865724,3949,2011/2012,4,2333,AlbinoLeffe,517,Modena,1502.84,1487.62,1518.14,1472.32,15.30,-15.30,home_win,2,1
865731,3949,2011/2012,4,524,Grosseto,473,Hellas Verona,1513.83,1517.40,1529.99,1501.24,16.16,-16.16,home_win,2,1
865739,3949,2011/2012,4,2320,Gubbio,522,Reggina,1453.50,1499.97,1439.63,1513.84,-13.87,13.87,away_win,1,3
865746,3949,2011/2012,4,520,Juve Stabia,505,Brescia,1468.77,1529.86,1455.55,1543.08,-13.22,13.22,away_win,0,1
865753,3949,2011/2012,4,2387,Nocerina,509,Ascoli,1502.84,1498.60,1486.64,1514.79,-16.20,16.20,away_win,0,1
865760,3949,2011/2012,4,458,Pescara,457,Crotone,1513.12,1483.97,1527.78,1469.31,14.66,-14.66,home_win,2,0
865767,3949,2011/2012,4,469,Sassuolo,508,Cittadella,1513.13,1500.03,1528.53,1484.64,15.40,-15.40,home_win,2,0
865775,3949,2011/2012,4,519,Varese,478,Livorno,1484.03,1497.89,1468.67,1513.26,-15.36,15.36,away_win,0,2
865782,3949,2011/2012,4,459,Empoli,465,Sampdoria,1484.67,1515.23,1470.07,1529.83,-14.60,14.60,away_win,1,3
865789,3949,2011/2012,4,498,Vicenza,456,Torino,1470.87,1531.23,1457.62,1544.48,-13.25,13.25,away_win,0,1
865795,3949,2011/2012,5,473,Hellas Verona,2314,Calcio Padova,1501.24,1547.10,1503.34,1545.00,2.10,-2.10,draw,2,2
865802,3949,2011/2012,5,509,Ascoli,469,Sassuolo,1514.79,1528.53,1499.42,1543.89,-15.37,15.37,away_win,0,1
865808,3949,2011/2012,5,500,Bari 1908,2387,Nocerina,1483.49,1486.64,1483.64,1486.50,0.15,-0.15,draw,1,1
865815,3949,2011/2012,5,508,Cittadella,498,Vicenza,1484.64,1457.62,1499.40,1442.87,14.76,-14.76,home_win,4,2
865822,3949,2011/2012,5,457,Crotone,459,Empoli,1469.31,1470.07,1485.34,1454.04,16.04,-16.04,home_win,2,1
865830,3949,2011/2012,5,478,Livorno,520,Juve Stabia,1513.26,1455.55,1526.62,1442.19,13.37,-13.37,home_win,3,0
865837,3949,2011/2012,5,517,Modena,2320,Gubbio,1472.32,1439.63,1470.82,1441.13,-1.50,1.50,draw,1,1
865844,3949,2011/2012,5,522,Reggina,458,Pescara,1513.84,1527.78,1530.48,1511.14,16.64,-16.64,home_win,4,2
865851,3949,2011/2012,5,465,Sampdoria,524,Grosseto,1529.83,1529.99,1529.84,1529.98,0.01,-0.01,draw,0,0
865858,3949,2011/2012,5,519,Varese,2333,AlbinoLeffe,1468.67,1518.14,1486.93,1499.88,18.26,-18.26,home_win,2,1
865865,3949,2011/2012,5,456,Torino,505,Brescia,1544.48,1543.08,1544.41,1543.14,-0.06,0.06,draw,0,0
865872,3949,2011/2012,6,498,Vicenza,478,Livorno,1442.87,1526.62,1446.65,1522.84,3.78,-3.78,draw,1,1
865879,3949,2011/2012,6,2333,AlbinoLeffe,465,Sampdoria,1499.88,1529.84,1485.25,1544.46,-14.62,14.62,away_win,1,3
865886,3949,2011/2012,6,509,Ascoli,473,Hellas Verona,1499.42,1503.34,1483.61,1519.16,-15.82,15.82,away_win,1,2
865893,3949,2011/2012,6,505,Brescia,508,Cittadella,1543.14,1499.40,1557.14,1485.40,14.00,-14.00,home_win,2,0
865899,3949,2011/2012,6,524,Grosseto,457,Crotone,1529.98,1485.34,1543.94,1471.39,13.96,-13.96,home_win,2,0
865906,3949,2011/2012,6,2320,Gubbio,519,Varese,1441.13,1486.93,1443.23,1484.84,2.10,-2.10,draw,0,0
865913,3949,2011/2012,6,520,Juve Stabia,458,Pescara,1442.19,1511.14,1461.32,1492.00,19.13,-19.13,home_win,3,2
865920,3949,2011/2012,6,2387,Nocerina,456,Torino,1486.50,1544.41,1473.14,1557.77,-13.36,13.36,away_win,1,2
