team_id,team_name,final_ELO
50,Augsburg,1598.51
44,Eintracht Frankfurt,1535.70
42,Freiburg,1503.42
46,RB Leipzig,1463.39
6772,Alemannia Aachen,1425.61
540,Bochum,1381.73
541,Union Berlin,1371.74
6773,Rot-Weiß Oberhausen,1368.45
552,Heidenheim,1347.48
548,St. Pauli,1339.64
37,Werder Bremen,1336.05
555,Aalen,1328.25
566,Holstein Kiel,1324.60
51,Stuttgart,1318.03
572,Energie Cottbus,1274.69
546,1860 München,1268.59
554,FSV Frankfurt,1253.45
553,MSV Duisburg,1223.78
545,Fortuna Düsseldorf,1211.60
547,Karlsruher SC,1201.38
36,Hamburger SV,1192.14
53,Paderborn,1189.57
52,Hannover 96,1180.75
544,Greuther Fürth,1173.26
47,Hertha BSC,1171.73
558,Magdeburg,1171.62
542,Kaiserslautern,1159.71
127,Nürnberg,1155.81
35,Schalke 04,1155.32
6326,Elversberg,1155.09
549,Würzburger Kickers,1152.50
128,Eintracht Braunschweig,1150.13
41,Köln,1147.99
48,Darmstadt 98,1141.08
556,Preußen Münster,1140.23
6810,Ulm,1137.33
539,Dynamo Dresden,1136.31
543,Arminia Bielefeld,1135.75
563,Jahn Regensburg,1131.71
551,Erzgebirge Aue,1126.40
550,Sandhausen,1102.15
562,Osnabrück,1096.60
45,Ingolstadt,1091.40
567,Hansa Rostock,1072.34
557,Wehen Wiesbaden,1053.65
