team_id,team_name,final_ELO
223,Wolverhampton Wanderers,1626.02
207,Bristol City,1596.88
218,Brentford,1586.23
148,AFC Bournemouth,1581.31
210,Preston North End,1557.73
251,Sheffield United,1554.47
216,Blackburn Rovers,1477.28
271,Luton Town,1433.01
229,Millwall,1419.60
262,Hartlepool United,1410.27
220,Ipswich Town,1381.14
239,Coventry City,1365.63
150,Hull City,1362.62
264,Plymouth Argyle,1357.67
214,Sheffield Wednesday,1345.11
256,Notts County,1322.84
156,Sunderland,1320.27
272,Portsmouth,1303.93
230,Yeovil Town,1287.17
246,Oldham Athletic,1279.17
253,Colchester United,1278.03
213,Derby County,1273.65
249,Chesterfield,1217.77
259,Tranmere Rovers,1210.64
233,Bury,1204.04
235,Rochdale,1196.34
248,Bradford City,1187.61
237,Scunthorpe United,1181.74
243,Oxford United,1177.96
236,Walsall,1169.38
232,Southend United,1158.76
227,Milton Keynes Dons,1133.75
234,Swindon Town,1127.14
238,Gillingham,1126.50
1021,Lincoln City,1105.03
270,Morecambe,1103.28
226,Bolton Wanderers,1102.52
250,Peterborough United,1102.34
215,Barnsley,1099.84
231,Doncaster Rovers,1099.46
266,Wycombe Wanderers,1099.28
228,Blackpool,1098.52
225,Charlton Athletic,1094.80
221,Wigan Athletic,1093.52
268,Exeter City,1093.26
258,Stevenage,1089.63
219,Reading,1088.11
242,Northampton Town,1088.06
255,Leyton Orient,1087.94
206,Birmingham City,1086.94
1837,Wrexham,1085.30
267,Mansfield Town,1081.46
3143,Stockport County,1080.42
244,Bristol Rovers,1079.56
217,Huddersfield Town,1078.48
208,Burton Albion,1077.86
254,Crawley Town,1074.17
263,Accrington Stanley,1074.04
212,Rotherham United,1072.82
245,Shrewsbury Town,1072.71
261,Cambridge United,1071.95
240,Fleetwood Town,1070.12
241,AFC Wimbledon,1063.60
260,Cheltenham Town,1038.46
252,Crewe Alexandra,1032.15
247,Port Vale,976.44
1020,Forest Green Rovers,949.71
257,Carlisle United,943.53
