team_id,team_name,final_ELO
153,West Ham United,1653.57
143,Crystal Palace,1521.97
209,Brighton & Hove Albion,1472.43
223,Wolverhampton Wanderers,1461.73
157,Newcastle United,1456.91
272,Portsmouth,1424.63
158,Aston Villa,1409.89
218,Brentford,1363.50
231,Doncaster Rovers,1337.73
230,Yeovil Town,1323.06
145,Burnley,1321.61
148,AFC Bournemouth,1307.74
211,Nottingham Forest,1303.79
251,Sheffield United,1280.20
271,Luton Town,1262.91
162,Fulham,1254.28
220,Ipswich Town,1244.48
227,Milton Keynes Dons,1235.10
208,Burton Albion,1229.01
146,Southampton,1217.55
222,Leeds United,1195.78
108,Leicester City,1195.06
147,Middlesbrough,1181.48
266,Wycombe Wanderers,1158.56
150,Hull City,1150.68
159,Norwich City,1148.89
142,West Bromwich Albion,1143.44
225,Charlton Athletic,1142.62
229,Millwall,1127.99
160,Queens Park Rangers,1121.77
214,Sheffield Wednesday,1121.74
213,Derby County,1115.61
207,Bristol City,1111.90
141,Stoke City,1109.78
239,Coventry City,1108.60
154,Swansea City,1106.18
155,Watford,1090.40
216,Blackburn Rovers,1080.08
226,Bolton Wanderers,1074.23
210,Preston North End,1071.20
161,Cardiff City,1068.17
250,Peterborough United,1065.02
221,Wigan Athletic,1056.25
264,Plymouth Argyle,1052.84
219,Reading,1052.44
156,Sunderland,1047.77
228,Blackpool,1045.86
206,Birmingham City,1041.65
217,Huddersfield Town,1036.88
215,Barnsley,1027.24
212,Rotherham United,939.70
