team_id,team_name,final_ELO
223,Wolverhampton Wanderers,1625.12
207,Bristol City,1595.68
210,Preston North End,1586.72
218,Brentford,1582.12
148,AFC Bournemouth,1581.27
251,Sheffield United,1550.02
216,Blackburn Rovers,1471.55
229,Millwall,1450.51
271,Luton Town,1425.92
262,Hartlepool United,1410.21
220,Ipswich Town,1370.17
239,Coventry City,1358.31
150,Hull City,1353.88
264,Plymouth Argyle,1346.66
156,Sunderland,1339.96
214,Sheffield Wednesday,1336.39
256,Notts County,1321.71
272,Portsmouth,1292.74
230,Yeovil Town,1286.03
253,Colchester United,1275.63
246,Oldham Athletic,1273.44
213,Derby County,1262.48
249,Chesterfield,1213.29
259,Tranmere Rovers,1203.21
243,Oxford United,1201.60
233,Bury,1198.36
235,Rochdale,1187.63
248,Bradford City,1180.48
237,Scunthorpe United,1172.71
236,Walsall,1162.24
232,Southend United,1151.44
227,Milton Keynes Dons,1122.46
234,Swindon Town,1118.45
238,Gillingham,1116.75
1021,Lincoln City,1092.52
270,Morecambe,1092.40
231,Doncaster Rovers,1089.77
215,Barnsley,1088.32
250,Peterborough United,1088.11
226,Bolton Wanderers,1086.88
266,Wycombe Wanderers,1086.78
228,Blackpool,1085.99
225,Charlton Athletic,1082.34
221,Wigan Athletic,1081.06
268,Exeter City,1080.80
258,Stevenage,1077.09
219,Reading,1075.59
242,Northampton Town,1075.54
255,Leyton Orient,1075.49
206,Birmingham City,1074.43
1837,Wrexham,1072.87
267,Mansfield Town,1068.96
3143,Stockport County,1067.92
244,Bristol Rovers,1067.09
217,Huddersfield Town,1066.05
208,Burton Albion,1065.40
263,Accrington Stanley,1063.12
254,Crawley Town,1061.71
212,Rotherham United,1060.32
245,Shrewsbury Town,1060.24
261,Cambridge United,1059.48
240,Fleetwood Town,1058.99
241,AFC Wimbledon,1053.86
260,Cheltenham Town,1027.31
252,Crewe Alexandra,1022.44
247,Port Vale,965.29
1020,Forest Green Rovers,938.90
257,Carlisle United,932.41
