team_id,team_name,final_ELO
84,Real Madrid,1549.85
83,FC Barcelona,1545.15
117,Atlético Madrid,1518.38
76,Villarreal,1501.14
285,Athletic Club Bilbao,1499.71
312,Girona FC,1495.38
284,Real Betis,1487.57
290,Real Sociedad,1481.19
287,CA Osasuna,1478.36
298,RCD Mallorca,1477.91
277,Deportivo Alavés,1477.15
98,Sevilla FC,1472.46
281,Celta de Vigo,1470.80
291,Rayo Vallecano,1466.37
288,Valencia CF,1463.93
293,Getafe CF,1456.66
278,Leganés,1450.82
280,RCD Espanyol,1450.29
276,UD Las Palmas,1449.34
297,Real Valladolid,1445.72
292,Levante UD,1427.67
310,Cádiz,1388.79
301,SD Huesca,1386.23
299,Real Zaragoza,1374.33
289,Sporting Gijón,1373.41
295,Elche CF,1360.47
279,SD Eibar,1353.68
286,Deportivo La Coruña,1350.68
319,Racing Santander,1347.99
296,Almería,1339.71
283,Málaga CF,1291.24
282,Granada CF,1289.00
294,Córdoba,1261.69
