team_id,team_name,final_ELO
382,Cambuur,1527.80
395,Helmond Sport,1485.05
4880,União de Leiria,1451.52
388,MVV,1443.54
15808,SC Beira-Mar,1440.81
82,Porto,1432.26
679945,AGOVV,1414.66
12840,Veendam,1408.77
4912,Naval 1º de Maio,1399.96
384,Dordrecht,1396.45
391,Oss,1382.16
78,Benfica,1372.23
396,Den Bosch,1370.26
389,Telstar,1350.54
114,Sporting CP,1347.51
394,Eindhoven,1306.46
172,Sporting Braga,1300.17
184,SC Olhanense,1217.96
166,CD Feirense,1208.47
170,Vitória Setúbal,1202.77
1024,CD Aves,1200.69
397,Emmen,1184.07
401,VVV,1160.03
179,Associação Académica de Coimbra OAF,1159.51
178,CF União,1146.50
182,FC Penafiel,1146.14
167,FC Arouca,1133.13
175,Vitória Guimarães,1132.53
377,ADO Den Haag,1130.01
383,De Graafschap,1096.73
1033,Famalicão,1095.72
176,Boavista FC,1085.94
165,GD Chaves,1078.15
183,Gil Vicente,1045.40
121,PSV,1042.36
4866,Farense,1037.85
171,Rio Ave FC,1031.03
367,Feyenoord,1020.87
4841,FC Vizela,1019.33
378,AZ,1008.03
4810,Casa Pia,1005.63
168,Belenenses,1002.30
164,GD Estoril Praia,1000.98
174,Moreirense FC,997.29
375,Twente,995.41
376,Utrecht,993.50
120,Ajax,984.47
169,CD Tondela,978.83
1025,Portimonense,977.92
173,Paços de Ferreira,976.11
371,Sparta Rotterdam,974.10
177,CS Marítimo,973.10
366,Go Ahead Eagles,970.14
379,NEC,967.30
1028,Santa Clara,955.67
163,CD Nacional,953.31
373,Heerenveen,951.32
387,Fortuna Sittard,949.16
370,Heracles,945.73
372,Groningen,945.13
380,PEC Zwolle,943.16
381,Willem II,940.74
393,Almere City,938.56
385,NAC Breda,934.28
386,RKC Waalwijk,924.98
374,Excelsior,860.84
369,Vitesse,847.45
398,Volendam,801.61
