team_id,team_name,final_ELO
1024,CD Aves,1507.75
4912,Naval 1º de Maio,1485.32
1033,Famalicão,1467.68
167,FC Arouca,1453.14
164,GD Estoril Praia,1449.30
15808,SC Beira-Mar,1436.03
171,Rio Ave FC,1431.02
174,Moreirense FC,1415.06
4810,Casa Pia,1407.32
4829,Fátima,1389.41
4866,Farense,1387.12
163,CD Nacional,1379.17
178,CF União,1364.53
1028,Santa Clara,1363.26
15804,Estrela Amadora,1346.27
4869,Marítimo II,1328.29
1029,Sporting CP II,1326.21
4819,Clube Oriental de Lisboa,1315.44
4885,Fafe,1315.32
4928,Atlético CP,1311.34
1035,Sporting Braga II,1309.94
4881,Freamunde,1300.55
1036,Cova Piedade,1291.47
1027,Vitória Guimarães II,1286.35
183,Gil Vicente,1283.67
184,SC Olhanense,1265.79
998595,AVS,1264.10
1034,Varzim,1263.70
1039,Real SC,1260.80
4884,Vilafranquense,1223.50
177,CS Marítimo,1202.09
4855,CD Trofense,1195.23
168,Belenenses,1194.93
1031,Benfica II,1194.25
169,CD Tondela,1191.90
1032,Academico Viseu,1191.81
182,FC Penafiel,1190.28
173,Paços de Ferreira,1189.77
4835,Torreense,1189.39
1030,Leixões,1186.09
4825,CD Mafra,1184.36
4880,União de Leiria,1184.12
1037,Porto II,1180.72
166,CD Feirense,1174.33
10708,Alverca,1166.48
1038,UD Oliveirense,1164.86
165,GD Chaves,1164.22
4841,FC Vizela,1163.49
1025,Portimonense,1163.33
4821,Felgueiras 1932,1163.23
1026,Sporting Covilhã,1157.42
179,Associação Académica de Coimbra OAF,1147.21
4812,Vilaverdense,1108.26
705099,CF Os Belenenses,1094.01
