team_id,team_name,final_ELO
68,PSG,1569.39
56,Monaco,1554.29
443,Olympique Marseille,1532.13
441,Lille,1530.29
449,Lens,1528.62
57,Olympique Lyonnais,1524.03
491,Brest,1522.82
445,Nice,1520.14
451,Reims,1513.35
442,Rennes,1512.30
439,Toulouse,1505.35
435,Montpellier,1503.24
480,Strasbourg,1501.88
440,Nantes,1495.66
493,Le Havre,1479.58
454,Sochaux,1479.10
444,Angers SCO,1472.24
434,Saint-Étienne,1471.92
479,Auxerre,1471.63
481,Amiens SC,1427.83
437,Bastia,1409.76
488,Nîmes,1408.16
490,Clermont,1401.66
448,Lorient,1394.49
489,Gazélec Ajaccio,1386.69
450,Thonon Evian FC,1378.34
433,Bordeaux,1377.00
432,Caen,1368.17
436,Guingamp,1366.19
447,Nancy,1355.79
453,Valenciennes,1350.97
438,Metz,1343.23
452,Ajaccio,1316.21
446,Dijon,1312.75
486,Troyes,1309.80
