team_id,team_name,final_ELO
121,PSV,1598.42
367,Feyenoord,1571.23
378,AZ,1542.60
375,Twente,1532.04
376,Utrecht,1521.43
120,Ajax,1520.58
371,Sparta Rotterdam,1500.70
366,Go Ahead Eagles,1492.05
379,NEC,1488.32
373,Heerenveen,1472.85
387,Fortuna Sittard,1468.27
372,Groningen,1462.43
370,Heracles,1459.18
381,Willem II,1457.00
380,PEC Zwolle,1455.93
393,Almere City,1451.79
385,NAC Breda,1450.45
386,RKC Waalwijk,1442.68
368,Roda JC,1402.29
369,Vitesse,1365.46
397,Emmen,1364.68
383,De Graafschap,1362.34
377,ADO Den Haag,1350.96
374,Excelsior,1350.95
384,Dordrecht,1335.79
401,VVV,1321.20
398,Volendam,1299.84
382,Cambuur,1282.83
