team_id,team_name,final_ELO
93,Manchester City,1674.81
59,Arsenal,1624.52
151,Liverpool,1619.70
152,Chelsea,1533.12
158,Aston Villa,1532.03
157,Newcastle United,1523.93
149,Manchester United,1522.97
92,Tottenham Hotspur,1519.44
209,Brighton & Hove Albion,1489.19
153,West Ham United,1468.62
162,Fulham,1460.84
218,Brentford,1459.92
143,Crystal Palace,1459.79
144,Everton,1450.74
148,AFC Bournemouth,1438.68
211,Nottingham Forest,1428.26
226,Bolton Wanderers,1425.24
223,Wolverhampton Wanderers,1422.81
221,Wigan Athletic,1422.24
141,Stoke City,1395.28
216,Blackburn Rovers,1395.13
154,Swansea City,1379.21
108,Leicester City,1378.83
220,Ipswich Town,1372.29
146,Southampton,1356.50
222,Leeds United,1347.49
219,Reading,1342.34
161,Cardiff City,1339.56
150,Hull City,1331.16
156,Sunderland,1322.42
160,Queens Park Rangers,1320.70
147,Middlesbrough,1307.22
142,West Bromwich Albion,1290.40
145,Burnley,1282.89
271,Luton Town,1282.61
159,Norwich City,1253.83
155,Watford,1246.64
217,Huddersfield Town,1242.75
251,Sheffield United,1233.16
