team_id,team_name,final_ELO
93,Manchester City,1562.14
59,Arsenal,1546.16
151,Liverpool,1534.97
158,Aston Villa,1516.59
152,Chelsea,1515.03
157,Newcastle United,1509.01
149,Manchester United,1503.64
92,Tottenham Hotspur,1501.62
209,Brighton & Hove Albion,1494.61
162,Fulham,1492.54
143,Crystal Palace,1492.15
211,Nottingham Forest,1484.31
148,AFC Bournemouth,1482.27
153,West Ham United,1481.50
218,Brentford,1481.42
144,Everton,1479.83
223,Wolverhampton Wanderers,1468.03
108,Leicester City,1453.20
220,Ipswich Town,1452.01
146,Southampton,1446.66
221,Wigan Athletic,1427.06
226,Bolton Wanderers,1423.70
141,Stoke City,1391.63
154,Swansea City,1376.10
216,Blackburn Rovers,1373.26
161,Cardiff City,1366.47
150,Hull City,1365.29
222,Leeds United,1351.79
219,Reading,1343.99
160,Queens Park Rangers,1335.15
142,West Bromwich Albion,1333.67
147,Middlesbrough,1328.31
156,Sunderland,1321.60
145,Burnley,1317.26
271,Luton Town,1308.38
159,Norwich City,1283.36
155,Watford,1275.45
217,Huddersfield Town,1253.83
251,Sheffield United,1247.84
