team_id,team_name,final_ELO
281,Celta de Vigo,1647.17
76,Villarreal,1579.44
284,Real Betis,1528.52
321,Real Murcia,1470.49
287,CA Osasuna,1456.16
325,Guadalajara,1435.11
323,Real Madrid II,1414.20
293,Getafe CF,1410.56
4502,CD Alcoyano,1372.74
322,Real Jaén CF,1351.70
324,Hércules CF,1350.61
315,Llagostera-Costa Brava,1338.56
298,RCD Mallorca,1329.07
291,Rayo Vallecano,1314.45
318,Recreativo de Huelva,1310.99
326,Xerez CD,1299.36
312,Girona FC,1291.93
308,UCAM Murcia CF,1287.64
1023,Cultural y Deportiva Leonesa,1268.92
277,Deportivo Alavés,1262.15
276,UD Las Palmas,1258.32
320,Barcelona II,1231.77
307,CF Reus Deportiu,1230.03
280,RCD Espanyol,1224.94
314,Athletic Club II,1224.47
306,CD Numancia,1224.32
278,Leganés,1215.50
297,Real Valladolid,1207.00
317,CE Sabadell FC,1201.61
1022,Lorca,1197.31
4589,Extremadura UD,1195.09
305,Sevilla II,1193.76
303,Gimnàstic de Tarragona,1191.47
4580,Rayo Majadahonda,1188.78
4500,UD Logroñés,1144.23
279,SD Eibar,1137.27
313,SD Ponferradina,1137.08
319,Racing Santander,1136.60
292,Levante UD,1132.40
309,Real Oviedo,1131.28
4546,Burgos CF,1129.46
299,Real Zaragoza,1127.53
301,SD Huesca,1126.00
316,Albacete Balompié,1124.07
289,Sporting Gijón,1122.78
300,Mirandés,1122.02
283,Málaga CF,1121.20
310,Cádiz,1119.27
4516,CD Eldense,1117.59
295,Elche CF,1116.88
282,Granada CF,1114.47
311,CD Tenerife,1114.18
296,Almería,1113.31
4507,FC Cartagena,1113.30
6257,CD Castellón,1113.27
4542,Racing Club de Ferrol,1111.69
294,Córdoba,1111.25
286,Deportivo La Coruña,1109.07
4556,Real Sociedad II,1108.65
4522,SD Amorebieta,1107.98
302,AD Alcorcón,1087.52
672363,FC Andorra,1081.61
10725,UD Ibiza,1075.62
4492,Villarreal II,1073.05
4497,CF Fuenlabrada,1065.23
304,CD Lugo,1034.59
