team_id,team_name,final_ELO
456,Torino,1614.25
521,Robur Siena,1463.82
2387,Nocerina,1435.00
467,Bologna,1430.81
524,Grosseto,1346.75
477,Catania,1345.99
2333,AlbinoLeffe,1344.41
2320,Gubbio,1343.46
459,Empoli,1314.32
473,Hellas Verona,1303.66
2356,Monza,1297.26
516,Virtus Lanciano,1292.04
499,Avellino,1271.71
519,Varese,1269.72
515,Trapani,1262.28
2330,Lecce,1260.35
1045,Foggia,1257.27
504,Latina,1247.06
506,Novara,1237.86
511,Pro Vercelli,1233.56
460,Genoa,1222.43
455,Cagliari,1212.00
2314,Calcio Padova,1208.54
468,Chievo,1207.59
476,Parma,1200.38
518,Como,1196.70
1047,Venezia,1185.79
472,Carpi,1156.46
498,Vicenza,1099.41
458,Pescara,1091.38
522,Reggina,1070.81
1046,Cremonese,1052.18
502,Perugia,1050.00
478,Livorno,1048.74
513,Spezia,1048.43
509,Ascoli,1046.62
507,Pisa,1045.81
2341,US Alessandria,1041.84
512,SPAL,1040.46
2350,Catanzaro,1039.27
465,Sampdoria,1038.80
462,Palermo,1036.97
2312,Südtirol,1036.86
2343,Cosenza,1036.62
505,Brescia,1036.53
500,Bari 1908,1035.58
517,Modena,1035.51
2354,Reggiana,1035.30
503,Ternana,1032.44
508,Cittadella,1029.28
469,Sassuolo,1028.63
2363,Mantova,1026.07
475,Cesena,1022.47
514,Virtus Entella,1022.06
501,Benevento,1021.98
520,Juve Stabia,1021.79
510,Salernitana,1019.37
474,Frosinone,1013.66
457,Crotone,1013.22
2358,Carrarese,1010.48
2348,FeralpiSalò,978.72
2332,Pordenone,965.85
6366,Lecco,907.00
