elo_gap_bin,avg_goal_diff
-550--501,0.0
-500--451,-1.0
-450--401,-1.9642857142857142
-400--351,-1.5841584158415842
-350--301,-1.444043321299639
-300--251,-1.4391304347826086
-250--201,-1.203626220362622
-200--151,-0.954728370221328
-150--101,-0.7097149505526469
-100--51,-0.46226119636705293
-50--1,-0.22067560685791887
0-49,-0.0020578147966682997
50-99,0.1864218141346689
100-149,0.38396035457527744
150-199,0.5698525822512935
200-249,0.7782191327375041
250-299,1.0317158261972725
300-349,1.3983193277310924
350-399,1.5860420650095601
400-449,1.8680851063829786
450-499,2.15
500-549,2.4214285714285713
