year,id,league-name
2023/2024,10210,europa-league
2023/2024,9600,conference-league
2023/2024,9759,fa-cup
2023/2024,9660,premier-league
2023/2024,9574,caraboa-cup
2023/2024,9663,efl-championship
2023/2024,9541,community-shield
2023/2024,9543,champions-league
2023/2024,9665,la-liga
2023/2024,9582,EFL-League-1
2023/2024,9581,EFL-League-2
2023/2024,9655,Bundesliga-1
2023/2024,9674,ligue-1
2023/2024,9621,ligue-2
2023/2024,9808,Italy-Serie-B
2023/2024,9697,Italy-Serie-A
2023/2024,9704,LigaPro
2023/2024,9675,Spain-Segunda-División
2023/2024,9653,Netherland-League-1
2023/2024,9653,Netherlands-League-2
2023/2024,9653,Liga-Nos
2023/2024,9636,Scotland-Premiership
