year,id,league-name
2011/2012,4070,europa-League
2012/2013,4060,europa-League
2013/2014,1806,europa-League
2014/2015,1805,europa-League
2015/2016,6731,europa-League
2016/2017,1700,europa-League
2017/2018,964,europa-league
2018/2019,1535,europa-league
2019/2020,2203,europa-league
2020/2021,4693,europa-league
2021/2022,6218,europa-league
2022/2023,7985,europa-league
2023/2024,10210,europa-league
2024/2025,1232,europa-league
2021/2022,7322,conference league
2022/2023,7480,conference league
2023/2024,9600,conference league
2024/2025,12278,conference league
2011/2012,3917,fa-cup
2012/2013,3912,fa-cup 
2013/2014,1037,fa-cup
2014/2015,1036,fa-cup
2015/2016,1035,fa-cup
2016/2017,1034,fa-cup
2017/2018,1033,fa-cup
2018/2019,1674,fa-cup
2019/2020,2414,fa-cup
2020/2021,4803,fa-cup
2021/2022,6068,fa-cup
2022/2023,7836,fa-cup
2023/2024,9759,fa-cup
2024/2025,12542,fa-cup
2011/2012,4080,caraboa-cup
2012/2013,4076,caraboa-cup
2013/2014,1051,caraboa-cup
2014/2015,1050,caraboa-cup
2015/2016,1049,caraboa-cup
2016/2017,1048,caraboa-cup
2017/2018,1047,caraboa-cup
2018/2019,1675,caraboa-cup
2019/2020,2215,caraboa-cup
2020/2021,4780,caraboa-cup
2021/2022,7470,caraboa-cup
2022/2023,7579,caraboa-cup
2023/2024,9574,caraboa-cup
2024/2025,12473,caraboa-cup
2011/2012,4062,champions-league
2012/2013,4053,champions-league
2013/2014,159,champions-league
2014/2015,158,champions-league
2015/2016,157,champions-league
2016/2017,6,champions-league
2017/2018,247,champions-league
2018/2019,1534,champions-league
2019/2020,2202,champions-league
2020/2021,4655,champions-league
2021/2022,5977,champions-league
2022/2023,7455,champions-league
2023/2024,9543,champions-league
2024/2025,12321,champions-league
